query_accession	evalue
GRMZM2G159587	PF02826
GRMZM2G040090	PF02826
GRMZM2G136072	PF02826
GRMZM2G074282	PF02826
GRMZM2G362021	PF02826
GRMZM2G176977	PF02826
GRMZM2G418294	PF02826
GRMZM2G476107	PF02826
GRMZM2G334941	PF02826
GRMZM5G841360	PF02826
GRMZM2G166899	PF02826
GRMZM2G015295	PF02826
GRMZM2G111616	PF02826
GRMZM2G111909	PF02826
GRMZM2G014813	PF02826
GRMZM2G118610	PF02826
GRMZM2G046070	PF02826
GRMZM2G413647	PF02826
GRMZM2G324297	PF02826
GRMZM2G700188	PF02826
GRMZM2G443445	PF02826
GRMZM2G167613	PF02826
GRMZM2G090980	PF02826
AC234163.1_FGP002	PF02826
GRMZM2G074454	PF02826
GRMZM2G135526	PF02826
GRMZM2G024303	PF02826
GRMZM2G149272	PF02826
GRMZM2G154007	PF02826
GRMZM5G844562	PF02826
GRMZM2G106250	PF02826
GRMZM2G365961	PF02826
GRMZM2G085117	PF02826
GRMZM2G107402	PF02826
GRMZM5G824600	PF02826
GRMZM5G848696	PF02826
GRMZM5G818186	PF02826
GRMZM2G177412	PF02826
GRMZM2G098346	PF02826
GRMZM2G005304	PF02826
GRMZM2G046804	PF02826
GRMZM2G180625	PF02826
GRMZM2G152975	PF02826
GRMZM2G178415	PF02826
AC213521.3_FGP005	PF02826
GRMZM2G397055	PF02826
GRMZM2G442658	PF02826
GRMZM2G153984	PF02826
GRMZM2G084942	PF02826
GRMZM2G051004	PF02826
GRMZM2G104632	PF02826
GRMZM2G076981	PF02826
GRMZM2G152981	PF02826
GRMZM2G019863	PF02826
GRMZM2G019515	PF02826
GRMZM2G333035	PF02826
GRMZM2G095519	PF02826
GRMZM2G172300	PF02826
GRMZM2G133121	PF02826
GRMZM2G314652	PF02826
GRMZM2G091819	PF02826
GRMZM2G071630	PF02826
GRMZM2G176307	PF02826
GRMZM2G427097	PF02826
GRMZM2G375064	PF02826
GRMZM2G360589	PF02826
GRMZM2G132082	PF02826
GRMZM2G107761	PF02826
GRMZM5G804881	PF02826
GRMZM5G849107	PF02826
GRMZM2G014376	PF02826
GRMZM2G395357	PF02826
GRMZM2G421509	PF02826
GRMZM2G423886	PF02826
GRMZM2G079538	PF00198
GRMZM2G015132	PF00198
GRMZM5G807639	PF00198
GRMZM2G033644	PF00198
GRMZM2G082664	PF00198
GRMZM2G165176	PF00198
GRMZM2G036534	PF00198
GRMZM2G058702	PF00198
GRMZM2G117786	PF00198
GRMZM2G121200	PF00198
GRMZM2G161969	PF00198
GRMZM2G467466	PF00198
GRMZM2G142863	PF16078
GRMZM2G151041	PF16078
GRMZM2G151169	PF16078
AC217662.2_FGP004	PF08793
GRMZM2G097040	PF01257
GRMZM2G067992	PF01257
GRMZM2G040513	PF01257
GRMZM2G023748	PF01257
GRMZM2G144387	PF01257
GRMZM2G035217	PF03390
GRMZM2G341460	PF03171
GRMZM2G368411	PF03171
GRMZM2G050234	PF03171
AC234528.1_FGP006	PF03171
GRMZM2G060940	PF03171
GRMZM2G049418	PF03171
GRMZM2G007249	PF03171
GRMZM2G099467	PF03171
GRMZM2G066358	PF03171
GRMZM2G144668	PF03171
GRMZM2G002704	PF03171
AC203966.5_FGP005	PF03171
GRMZM2G177104	PF03171
GRMZM2G166639	PF03171
GRMZM2G122280	PF03171
GRMZM2G119116	PF03171
GRMZM2G007140	PF03171
GRMZM2G088795	PF03171
GRMZM2G326114	PF03171
GRMZM2G153359	PF03171
GRMZM2G072529	PF03171
GRMZM2G420407	PF03171
AC212219.3_FGP005	PF03171
GRMZM2G332423	PF03171
GRMZM2G166616	PF03171
GRMZM2G058024	PF03171
GRMZM2G052422	PF03171
GRMZM2G021051	PF03171
GRMZM2G117246	PF03171
GRMZM2G162158	PF03171
GRMZM2G025870	PF03171
GRMZM2G322586	PF03171
GRMZM2G120943	PF03171
GRMZM6G617209	PF03171
GRMZM2G006964	PF03171
GRMZM2G126732	PF03171
GRMZM2G069298	PF03171
GRMZM2G152801	PF03171
GRMZM2G363893	PF03171
GRMZM2G475380	PF03171
GRMZM2G051619	PF03171
GRMZM2G000423	PF03171
AC148152.3_FGP005	PF03171
GRMZM5G854264	PF03171
GRMZM2G168355	PF03171
GRMZM2G089856	PF03171
GRMZM2G703582	PF03171
GRMZM2G345717	PF03171
GRMZM2G022679	PF03171
GRMZM2G044358	PF03171
GRMZM2G110369	PF03171
GRMZM2G152354	PF03171
AC190636.3_FGP005	PF03171
GRMZM2G031432	PF03171
GRMZM2G354354	PF03171
GRMZM2G062396	PF03171
AC197699.3_FGP003	PF03171
GRMZM2G147882	PF03171
GRMZM2G031724	PF03171
GRMZM2G013448	PF03171
GRMZM2G390385	PF03171
GRMZM2G111082	PF03171
GRMZM2G164883	PF03171
GRMZM2G036340	PF03171
GRMZM2G427618	PF03171
GRMZM5G826389	PF03171
GRMZM2G075996	PF03171
GRMZM2G176963	PF03171
GRMZM2G086231	PF03171
GRMZM2G175797	PF03171
GRMZM5G807276	PF03171
GRMZM2G426175	PF03171
GRMZM2G320167	PF03171
GRMZM2G127668	PF03171
GRMZM2G127232	PF03171
AC215639.3_FGP002	PF03171
GRMZM2G078798	PF03171
GRMZM2G146234	PF03171
GRMZM2G121700	PF03171
GRMZM2G025536	PF03171
GRMZM2G175343	PF03171
GRMZM2G542847	PF03171
GRMZM2G416207	PF03171
GRMZM2G520535	PF03171
GRMZM2G421029	PF03171
GRMZM2G046669	PF03171
GRMZM2G168506	PF03171
GRMZM5G843555	PF03171
GRMZM2G054224	PF03171
GRMZM2G414387	PF03171
GRMZM2G028004	PF03171
GRMZM2G097132	PF03171
GRMZM2G062632	PF03171
GRMZM5G855891	PF03171
GRMZM2G459063	PF03171
GRMZM2G145061	PF03171
GRMZM2G025867	PF03171
GRMZM2G382569	PF03171
GRMZM2G022836	PF03171
GRMZM2G348578	PF03171
GRMZM2G702806	PF03171
GRMZM2G159822	PF03171
GRMZM2G060079	PF03171
GRMZM2G145914	PF03171
GRMZM2G314692	PF03171
GRMZM2G341131	PF03171
GRMZM2G105283	PF03171
GRMZM2G149800	PF03171
GRMZM2G072612	PF03171
GRMZM2G165270	PF13532
GRMZM5G844096	PF13532
AC204472.3_FGP002	PF13532
GRMZM2G456132	PF13532
GRMZM2G114098	PF13532
GRMZM2G134559	PF13532
GRMZM2G068328	PF13532
GRMZM2G152549	PF13532
GRMZM2G145914	PF13532
GRMZM2G060079	PF13532
GRMZM2G071750	PF13532
GRMZM2G329885	PF13532
GRMZM5G855891	PF13640
GRMZM2G054224	PF13640
GRMZM2G145061	PF13640
GRMZM2G025867	PF13640
GRMZM5G843555	PF13640
GRMZM2G520535	PF13640
GRMZM2G459063	PF13640
GRMZM2G028004	PF13640
GRMZM2G168506	PF13640
GRMZM2G348578	PF13640
GRMZM2G013634	PF13640
GRMZM2G040161	PF13640
GRMZM2G088795	PF13640
GRMZM2G332423	PF13640
GRMZM2G166616	PF13640
GRMZM2G072529	PF13640
GRMZM2G166639	PF13640
AC186026.3_FGP004	PF13759
GRMZM2G324172	PF13759
GRMZM2G018746	PF13239
GRMZM2G010539	PF13239
GRMZM2G328824	PF13239
GRMZM2G331638	PF13239
GRMZM2G141731	PF13563
GRMZM2G110358	PF13563
AC225555.3_FGP007	PF13563
GRMZM2G085022	PF13563
GRMZM2G022506	PF13563
GRMZM2G033930	PF13563
GRMZM2G433847	PF13563
GRMZM2G433446	PF06052
GRMZM2G342829	PF06052
GRMZM2G373040	PF06052
GRMZM2G419070	PF06052
GRMZM2G081102	PF06052
GRMZM2G026703	PF06052
GRMZM2G449177	PF12578
GRMZM2G180922	PF01073
GRMZM2G149224	PF01073
GRMZM2G007252	PF01073
GRMZM2G150541	PF01073
GRMZM2G009435	PF01073
GRMZM2G166767	PF01073
GRMZM2G044281	PF01073
GRMZM2G108570	PF01073
GRMZM2G031311	PF01073
GRMZM5G878607	PF01073
GRMZM2G179981	PF01073
GRMZM2G107076	PF01073
GRMZM2G109589	PF01073
GRMZM2G017285	PF01073
GRMZM2G099420	PF01073
GRMZM2G013726	PF01073
GRMZM2G078480	PF01073
GRMZM2G138410	PF01073
GRMZM2G034069	PF01073
GRMZM2G146031	PF01073
GRMZM2G009681	PF01073
GRMZM2G131836	PF01073
GRMZM2G057328	PF01073
GRMZM2G141350	PF01073
GRMZM2G033555	PF01073
GRMZM2G026930	PF01073
GRMZM2G052336	PF01073
GRMZM5G860241	PF01073
GRMZM2G431504	PF01073
GRMZM2G029547	PF01073
AC234526.1_FGP005	PF01073
GRMZM2G097841	PF01073
GRMZM2G131205	PF01073
GRMZM2G038598	PF01073
GRMZM2G179685	PF01073
GRMZM2G016836	PF01073
GRMZM2G040397	PF01073
GRMZM5G830983	PF01073
GRMZM2G145460	PF01073
GRMZM2G097854	PF01073
GRMZM2G381473	PF01073
GRMZM2G468439	PF01073
GRMZM2G166833	PF01073
GRMZM2G110881	PF01073
GRMZM2G359234	PF01073
GRMZM2G000632	PF01073
GRMZM2G042179	PF01073
GRMZM2G347717	PF01073
GRMZM2G370048	PF01073
GRMZM2G007195	PF01073
GRMZM2G110558	PF01073
GRMZM2G007404	PF01073
GRMZM2G050076	PF01073
GRMZM2G455306	PF01073
GRMZM2G044027	PF01073
GRMZM2G165357	PF01073
GRMZM2G161233	PF01073
GRMZM2G124434	PF01073
GRMZM2G001991	PF01073
GRMZM2G004683	PF01073
GRMZM2G168893	PF01073
GRMZM2G052357	PF01073
GRMZM2G152175	PF01073
GRMZM2G138907	PF01073
GRMZM2G429118	PF01073
GRMZM2G017678	PF01073
GRMZM2G170336	PF01073
GRMZM2G154532	PF01073
GRMZM2G428924	PF01073
GRMZM2G367768	PF01073
GRMZM5G881887	PF01073
GRMZM2G146623	PF01073
GRMZM2G086773	PF01073
GRMZM2G131243	PF01073
AC206790.3_FGP001	PF01073
GRMZM2G031169	PF01073
AC226235.2_FGP001	PF01073
GRMZM2G143651	PF01073
GRMZM2G170812	PF01073
GRMZM2G480516	PF01073
GRMZM2G319345	PF01073
GRMZM2G068244	PF01073
GRMZM2G120938	PF01073
GRMZM2G114588	PF01073
GRMZM2G068455	PF01073
GRMZM2G063949	PF01073
GRMZM2G163610	PF01073
GRMZM2G004036	PF01073
GRMZM2G410865	PF01073
GRMZM2G069708	PF01073
GRMZM2G167872	PF01073
GRMZM2G063048	PF01073
GRMZM2G068917	PF01073
GRMZM2G300634	PF01073
GRMZM2G154595	PF01073
GRMZM2G161245	PF01073
GRMZM2G036217	PF01073
GRMZM2G332976	PF01073
GRMZM2G180836	PF01073
GRMZM2G143917	PF01073
GRMZM2G077531	PF01073
GRMZM2G397247	PF01073
GRMZM2G072744	PF01073
GRMZM2G466833	PF01073
GRMZM2G136439	PF01073
GRMZM2G123652	PF01073
GRMZM2G308351	PF01073
GRMZM2G069523	PF01073
GRMZM2G354600	PF01073
GRMZM2G171662	PF01073
GRMZM2G326116	PF01073
GRMZM2G001401	PF01073
AC212361.3_FGP010	PF01073
AC212667.3_FGP005	PF01073
GRMZM2G072911	PF01073
GRMZM2G458659	PF01073
GRMZM2G047800	PF01073
AC206185.3_FGP002	PF01073
GRMZM2G167431	PF01073
GRMZM2G179045	PF01073
GRMZM2G455809	PF01073
GRMZM2G355420	PF01073
GRMZM2G029856	PF01073
GRMZM2G047219	PF01073
GRMZM2G120987	PF01073
GRMZM2G149383	PF01073
GRMZM2G415359	PF01073
GRMZM2G427625	PF01073
GRMZM2G076981	PF01073
GRMZM2G138710	PF01073
GRMZM2G075892	PF01073
GRMZM2G169005	PF01073
GRMZM2G339367	PF01073
GRMZM2G141289	PF01073
GRMZM2G313104	PF02829
GRMZM2G106250	PF00725
GRMZM2G117357	PF00725
GRMZM2G132903	PF00725
GRMZM5G854613	PF00725
GRMZM2G459755	PF00725
GRMZM2G177404	PF00725
GRMZM2G169198	PF00725
GRMZM2G106250	PF02737
GRMZM2G132903	PF02737
GRMZM2G117357	PF02737
GRMZM5G854613	PF02737
GRMZM2G014813	PF02737
GRMZM2G159570	PF02737
GRMZM2G462140	PF02737
GRMZM2G335657	PF02737
GRMZM2G160747	PF02737
GRMZM2G153984	PF02737
GRMZM2G141607	PF02737
GRMZM2G052266	PF02737
GRMZM2G074454	PF02737
GRMZM2G025243	PF02737
GRMZM5G848696	PF02737
GRMZM2G058261	PF02737
GRMZM2G413647	PF02737
GRMZM2G145595	PF02737
GRMZM5G818186	PF02737
GRMZM2G308463	PF02737
GRMZM2G069523	PF02737
GRMZM2G066840	PF02737
GRMZM2G118610	PF02737
GRMZM2G046070	PF02737
GRMZM2G073774	PF02737
GRMZM2G152958	PF02737
GRMZM2G428628	PF02737
GRMZM2G038598	PF02737
GRMZM2G063258	PF02737
GRMZM2G091819	PF02737
GRMZM2G419111	PF02737
GRMZM2G035709	PF02737
GRMZM2G143883	PF02737
GRMZM2G167613	PF02737
GRMZM2G364901	PF02737
GRMZM2G066618	PF02737
GRMZM2G380286	PF02737
GRMZM2G454952	PF02737
GRMZM2G172300	PF02737
GRMZM2G333035	PF02737
GRMZM2G138410	PF02737
GRMZM5G849107	PF02737
GRMZM2G005107	PF02737
GRMZM2G015295	PF02737
GRMZM2G355420	PF02737
GRMZM2G085117	PF02737
GRMZM2G455809	PF02737
GRMZM2G314652	PF02737
GRMZM2G019515	PF02737
GRMZM2G425719	PF02737
GRMZM2G105644	PF02737
GRMZM2G072388	PF02737
GRMZM2G162527	PF02737
GRMZM2G128929	PF02737
GRMZM2G111909	PF02737
GRMZM2G156739	PF02737
GRMZM2G127798	PF02737
GRMZM2G179155	PF02737
GRMZM2G308351	PF02737
GRMZM2G173192	PF02737
GRMZM2G440208	PF02737
GRMZM2G167431	PF02737
GRMZM2G107761	PF02737
GRMZM2G365961	PF02737
GRMZM2G159587	PF02737
GRMZM2G106588	PF02737
GRMZM2G178917	PF02737
GRMZM2G423886	PF02737
GRMZM2G009795	PF02737
GRMZM2G007466	PF18321
GRMZM2G382104	PF18321
GRMZM2G064810	PF18321
GRMZM2G143278	PF18321
GRMZM2G146437	PF18321
GRMZM2G144744	PF18321
GRMZM2G125271	PF16121
GRMZM2G035017	PF16121
GRMZM2G400615	PF16121
GRMZM5G878944	PF16121
GRMZM2G430455	PF16121
GRMZM2G159237	PF16122
GRMZM2G092719	PF16122
GRMZM2G380152	PF16122
GRMZM2G099657	PF16122
GRMZM2G126821	PF16122
GRMZM2G145308	PF16122
GRMZM2G175273	PF04419
GRMZM2G084063	PF04419
GRMZM2G007835	PF04419
GRMZM2G109142	PF03061
GRMZM2G108135	PF03061
GRMZM5G861357	PF03061
GRMZM2G125175	PF03061
GRMZM5G885706	PF03061
GRMZM2G109062	PF03061
GRMZM2G069295	PF03061
GRMZM2G009888	PF03061
GRMZM2G003720	PF03061
GRMZM2G170509	PF03061
GRMZM2G077811	PF03061
GRMZM5G805030	PF03061
GRMZM2G157824	PF03061
GRMZM2G306566	PF03061
GRMZM5G860226	PF03061
GRMZM2G004752	PF03061
GRMZM2G397661	PF03061
GRMZM2G055667	PF03061
AC214477.4_FGP002	PF03061
GRMZM2G085320	PF03061
GRMZM2G024482	PF03061
GRMZM2G306566	PF13279
GRMZM2G077811	PF13279
GRMZM2G170509	PF13279
GRMZM2G004752	PF13279
GRMZM5G829544	PF13279
GRMZM2G017382	PF13279
GRMZM2G007489	PF13279
GRMZM2G079308	PF13279
GRMZM2G406603	PF13279
GRMZM2G464176	PF13279
GRMZM2G344476	PF13622
GRMZM2G125175	PF13622
GRMZM5G885706	PF13622
GRMZM2G108135	PF13622
GRMZM2G109142	PF13622
GRMZM5G861357	PF13622
GRMZM2G308910	PF13622
GRMZM2G009888	PF13622
GRMZM2G109062	PF13622
GRMZM2G003720	PF13622
GRMZM2G085602	PF12729
GRMZM2G079089	PF12729
AC195789.3_FGP001	PF12729
GRMZM2G009353	PF12729
GRMZM2G141208	PF12729
GRMZM2G090233	PF04476
GRMZM5G807835	PF01812
GRMZM2G001904	PF01812
GRMZM2G103902	PF09038
GRMZM2G153332	PF07694
GRMZM2G074436	PF07694
GRMZM2G145825	PF07694
AC215201.3_FGP004	PF07694
AC216233.2_FGP005	PF07694
GRMZM2G097898	PF01367
GRMZM2G081519	PF01367
GRMZM5G827798	PF01367
GRMZM2G121262	PF01367
GRMZM2G398668	PF01367
AC200112.4_FGP008	PF01367
GRMZM2G096920	PF01367
GRMZM2G353091	PF01367
GRMZM2G097898	PF02739
GRMZM2G081519	PF02739
GRMZM5G827798	PF02739
GRMZM5G803488	PF02739
GRMZM2G398668	PF02739
GRMZM2G121262	PF02739
GRMZM2G061672	PF02739
GRMZM2G122139	PF05761
GRMZM2G044819	PF05761
GRMZM2G040945	PF05761
GRMZM2G047546	PF05761
GRMZM2G115008	PF05761
GRMZM2G379550	PF05761
GRMZM2G092616	PF05761
GRMZM2G058451	PF05761
GRMZM2G018499	PF05761
GRMZM2G081644	PF05761
GRMZM5G894486	PF02872
GRMZM5G839422	PF02096
GRMZM2G110063	PF02096
GRMZM2G426200	PF02096
GRMZM2G064804	PF02096
GRMZM2G055880	PF02096
GRMZM2G136854	PF02096
GRMZM2G121186	PF02096
GRMZM2G321753	PF02096
GRMZM2G021846	PF01591
GRMZM5G824405	PF01591
GRMZM5G871692	PF01591
GRMZM2G025903	PF01591
GRMZM2G127230	PF01591
GRMZM2G113093	PF01591
GRMZM2G113995	PF01591
GRMZM2G011518	PF01591
GRMZM2G106795	PF01591
GRMZM2G357399	PF01591
GRMZM2G152929	PF01591
GRMZM5G836182	PF01591
GRMZM2G105996	PF01591
GRMZM2G157596	PF01591
GRMZM2G395844	PF01591
GRMZM2G103272	PF01591
GRMZM2G015361	PF01591
GRMZM2G439757	PF01591
GRMZM2G415433	PF01591
GRMZM2G154890	PF01591
GRMZM2G058474	PF01591
GRMZM2G123544	PF01591
GRMZM2G406977	PF01591
GRMZM2G342327	PF01591
GRMZM2G145715	PF00393
GRMZM2G127798	PF00393
GRMZM2G440208	PF00393
AC234527.1_FGP001	PF02294
GRMZM2G358540	PF07698
AC208897.3_FGP004	PF07698
GRMZM2G031728	PF07698
GRMZM2G177500	PF07698
GRMZM2G577611	PF07696
GRMZM2G027023	PF07695
GRMZM2G008687	PF07695
GRMZM2G459172	PF07695
GRMZM2G174343	PF07695
GRMZM2G147709	PF07695
GRMZM2G169293	PF07695
GRMZM2G006399	PF07697
GRMZM2G127524	PF07697
GRMZM2G037683	PF07697
GRMZM2G136178	PF07697
GRMZM2G120371	PF00001
GRMZM2G125649	PF00001
GRMZM2G324640	PF00001
GRMZM2G179679	PF00001
GRMZM2G022892	PF00001
GRMZM2G120371	PF00002
AC198700.2_FGP004	PF00003
GRMZM2G127457	PF00003
GRMZM5G804859	PF02949
GRMZM2G072462	PF02949
GRMZM5G856306	PF02949
GRMZM2G540791	PF02117
GRMZM5G858373	PF02117
GRMZM2G013855	PF10317
GRMZM2G104886	PF10317
AC200227.4_FGP001	PF10317
GRMZM2G345337	PF10321
GRMZM2G054870	PF10323
GRMZM2G065040	PF10323
GRMZM5G871140	PF10325
GRMZM2G029436	PF07388
GRMZM2G035401	PF08792
GRMZM2G158838	PF08792
GRMZM2G058866	PF08792
GRMZM6G791392	PF08792
GRMZM2G016928	PF08792
GRMZM2G088880	PF08792
GRMZM2G399311	PF08792
AC226227.2_FGP007	PF08792
GRMZM2G457881	PF08792
GRMZM5G836222	PF08792
AC213461.3_FGP004	PF08792
AC194972.2_FGP001	PF08792
GRMZM2G080681	PF08792
GRMZM2G055567	PF08792
GRMZM2G160211	PF08792
GRMZM2G087137	PF08792
GRMZM2G081387	PF08792
GRMZM2G091586	PF08792
GRMZM2G702406	PF08792
GRMZM2G456895	PF08792
GRMZM5G800853	PF08792
AC233949.1_FGP004	PF00004
GRMZM2G036765	PF00004
GRMZM2G063060	PF00004
GRMZM2G103186	PF00004
GRMZM2G315264	PF00004
GRMZM2G149994	PF00004
GRMZM2G475360	PF00004
GRMZM2G082131	PF00004
GRMZM2G070305	PF00004
GRMZM2G587327	PF00004
GRMZM2G398755	PF00004
GRMZM2G703490	PF00004
GRMZM5G859683	PF00004
GRMZM2G110408	PF00004
GRMZM2G087598	PF00004
GRMZM2G463032	PF00004
GRMZM2G096764	PF00004
GRMZM2G048836	PF00004
GRMZM2G134749	PF00004
GRMZM2G451483	PF00004
GRMZM2G128605	PF00004
GRMZM2G090904	PF00004
GRMZM2G038126	PF00004
GRMZM2G088834	PF00004
GRMZM2G126860	PF00004
GRMZM2G040079	PF00004
GRMZM2G126361	PF00004
GRMZM2G177070	PF00004
GRMZM2G163193	PF00004
GRMZM2G072865	PF00004
GRMZM2G137528	PF00004
GRMZM2G074037	PF00004
GRMZM2G107362	PF00004
GRMZM2G032505	PF00004
GRMZM2G027282	PF00004
GRMZM2G165817	PF00004
GRMZM2G171604	PF00004
GRMZM2G038401	PF00004
GRMZM2G095593	PF00004
GRMZM2G056569	PF00004
GRMZM2G004040	PF00004
GRMZM2G104373	PF00004
GRMZM2G156069	PF00004
GRMZM2G022777	PF00004
GRMZM2G115766	PF00004
GRMZM2G110185	PF00004
GRMZM2G181359	PF00004
GRMZM2G052403	PF00004
GRMZM2G126453	PF00004
GRMZM2G058491	PF00004
GRMZM2G159307	PF00004
GRMZM2G017305	PF00004
GRMZM5G874082	PF00004
GRMZM2G013115	PF00004
GRMZM2G128748	PF00004
GRMZM2G157621	PF00004
GRMZM2G402088	PF00004
GRMZM2G158136	PF00004
GRMZM2G122061	PF00004
GRMZM2G075584	PF00004
GRMZM2G125151	PF00004
GRMZM2G042074	PF00004
GRMZM2G435582	PF00004
GRMZM2G173849	PF00004
GRMZM2G054715	PF00004
GRMZM2G019621	PF00004
GRMZM2G058141	PF00004
GRMZM2G354532	PF00004
GRMZM2G069422	PF00004
GRMZM2G456187	PF00004
GRMZM2G360681	PF00004
GRMZM2G116858	PF00004
GRMZM2G145599	PF00004
GRMZM2G123922	PF00004
GRMZM2G009443	PF00004
GRMZM2G162968	PF00004
GRMZM2G067242	PF00004
GRMZM2G066615	PF00004
GRMZM2G109560	PF00004
GRMZM2G405052	PF00004
GRMZM2G060561	PF00004
GRMZM2G701930	PF00004
GRMZM2G003984	PF00004
GRMZM5G856201	PF00004
GRMZM2G438355	PF00004
GRMZM2G387383	PF00004
GRMZM2G113056	PF00004
GRMZM2G063672	PF00004
GRMZM2G168249	PF00004
GRMZM2G172230	PF00004
GRMZM2G083820	PF00004
GRMZM2G178645	PF00004
GRMZM2G175593	PF00004
GRMZM6G704070	PF00004
GRMZM2G310947	PF00004
GRMZM2G149567	PF00004
GRMZM2G455243	PF00004
GRMZM2G170037	PF00004
GRMZM2G137321	PF00004
GRMZM2G302229	PF00004
GRMZM2G096812	PF00004
GRMZM2G444560	PF00004
GRMZM2G028129	PF00004
GRMZM2G159977	PF00004
GRMZM5G893912	PF00004
GRMZM2G458095	PF00004
GRMZM2G130121	PF00004
GRMZM2G001084	PF00004
GRMZM2G103740	PF00004
GRMZM2G126292	PF00004
GRMZM2G172829	PF00004
GRMZM2G180080	PF00004
AC233854.1_FGP002	PF00004
GRMZM2G138770	PF00004
GRMZM2G162282	PF00004
GRMZM2G445617	PF00004
GRMZM2G071272	PF00004
GRMZM2G408881	PF00004
GRMZM2G381576	PF00004
GRMZM6G798998	PF00004
GRMZM2G162200	PF00004
GRMZM2G331833	PF00004
GRMZM5G861603	PF00004
GRMZM2G385265	PF00004
GRMZM2G152587	PF00004
GRMZM2G095254	PF00004
GRMZM2G093217	PF00004
GRMZM2G101791	PF00004
GRMZM2G457381	PF00004
GRMZM2G106807	PF00004
GRMZM2G053934	PF00004
GRMZM2G050186	PF00004
GRMZM2G170982	PF00004
GRMZM2G144197	PF00004
GRMZM2G049188	PF00004
GRMZM5G819464	PF00004
GRMZM2G361049	PF00004
GRMZM2G018697	PF00004
GRMZM2G032267	PF00004
GRMZM2G136665	PF00004
GRMZM2G043817	PF00004
AC194970.5_FGP009	PF00004
GRMZM2G058087	PF00004
GRMZM2G060924	PF00004
GRMZM2G017961	PF00004
GRMZM2G365688	PF00004
GRMZM5G897818	PF00004
GRMZM2G077045	PF00004
GRMZM2G014282	PF00004
GRMZM2G026580	PF00004
GRMZM5G831804	PF00004
GRMZM2G168228	PF00004
GRMZM2G147819	PF00004
GRMZM2G370521	PF00004
GRMZM2G409190	PF00004
GRMZM2G009987	PF00004
GRMZM2G117028	PF00004
GRMZM2G011319	PF00004
GRMZM2G044989	PF00004
GRMZM2G417650	PF00004
GRMZM2G302160	PF00004
GRMZM2G481069	PF00004
GRMZM2G013890	PF00004
GRMZM2G143139	PF00004
GRMZM2G007659	PF00004
GRMZM2G162800	PF00004
GRMZM2G146486	PF00004
GRMZM5G892675	PF00004
GRMZM2G363408	PF00004
GRMZM2G109121	PF00004
GRMZM2G400533	PF00004
GRMZM2G006178	PF00004
GRMZM2G018607	PF00004
GRMZM2G479018	PF00004
GRMZM2G025860	PF00004
