genes	domain
AC177902.2_FG003	
AC177903.4_FG002	
AC177905.2_FG001	
AC177905.2_FG003	
AC177905.2_FG007	
AC177907.4_FG006	
AC177908.3_FG002	PF01501
AC177908.3_FG003	
AC177908.3_FG006	
AC177909.3_FG007	
AC177910.2_FG004	
AC177911.4_FG005	
AC177913.4_FG002	
AC177914.2_FG004	
AC177915.2_FG022	
AC177917.1_FG005	
AC177919.3_FG004	
AC177920.3_FG008	
AC177922.2_FG001	
AC177922.2_FG002	
AC177922.2_FG003	
AC177924.2_FG001	PF00010
AC177924.2_FG003	
AC177925.2_FG003	
AC177926.2_FG003	
AC177926.2_FG017	
AC177930.2_FG001	
AC177930.2_FG002	
AC177933.2_FG002	
AC177933.2_FG003	
AC177933.2_FG005	PF03094
AC177934.2_FG001	
AC177936.6_FG008	"PF00888,PF10557"
AC177939.3_FG004	
AC177940.4_FG006	
AC177941.3_FG001	
AC177941.3_FG006	
AC177941.3_FG008	
AC177944.2_FG001	
AC177945.3_FG009	
AC177946.2_FG004	
AC177946.2_FG006	
AC177946.2_FG009	
AC177947.2_FG003	
AC182101.3_FG001	
AC182101.3_FG006	
AC182105.3_FG001	
AC182105.3_FG005	
AC182105.3_FG006	
AC182110.4_FG002	
AC182413.4_FG002	PF03018
AC182413.4_FG012	
AC182414.3_FG001	
AC182414.3_FG003	
AC182415.4_FG001	
AC182417.4_FG004	
AC182420.4_FG001	
AC182439.4_FG004	PF03694
AC182440.4_FG002	
AC182440.4_FG003	
AC182481.3_FG003	
AC182482.3_FG003	"PF16916,PF01545"
AC182603.4_FG003	
AC182606.4_FG001	
AC182606.4_FG002	
AC182608.4_FG001	
AC182611.4_FG004	
AC182615.4_FG001	
AC182615.4_FG002	
AC182615.4_FG003	
AC182617.3_FG001	PF01678
AC182618.3_FG001	
AC182622.3_FG004	
AC182622.3_FG005	
AC182623.3_FG004	
AC182627.2_FG003	
AC182819.4_FG002	
AC182819.4_FG003	
AC182823.3_FG007	
AC182824.4_FG001	
AC182826.4_FG003	
AC182830.3_FG003	
AC182830.3_FG004	
AC182831.3_FG004	
AC182833.3_FG013	
AC182833.3_FG014	
AC182835.3_FG004	
AC182838.3_FG006	
AC183307.5_FG001	
AC183314.3_FG001	
AC183314.3_FG007	
AC183315.4_FG006	PF00514
AC183318.3_FG001	
AC183319.3_FG001	
AC183372.4_FG006	
AC183372.4_FG008	
AC183412.5_FG005	
AC183413.3_FG006	
AC183503.2_FG001	
AC183503.2_FG002	
AC183503.2_FG003	
AC183504.4_FG003	
AC183509.1_FG001	
AC183509.1_FG002	
AC183510.4_FG001	
AC183511.4_FG003	
AC183514.3_FG005	
AC183514.3_FG006	
AC183518.2_FG001	
AC183521.2_FG006	
AC183590.4_FG001	PF04107
AC183590.4_FG003	
AC183591.3_FG003	
AC183656.2_FG005	PF08646
AC183657.2_FG001	
AC183659.4_FG005	
AC183659.4_FG006	
AC183661.3_FG004	
AC183757.3_FG001	
AC183758.4_FG005	
AC183758.4_FG006	
AC183758.4_FG007	
AC183782.3_FG002	PF03108
AC183783.4_FG004	
AC183788.3_FG002	
AC183811.3_FG003	
AC183815.4_FG004	
AC183817.2_FG002	
AC183818.2_FG001	
AC183820.4_FG002	
AC183822.3_FG001	
AC183822.3_FG003	
AC183823.3_FG006	
AC183825.3_FG003	
AC183888.4_FG006	
AC183888.4_FG008	
AC183895.3_FG001	
AC183895.3_FG003	
AC183899.3_FG001	
AC183900.3_FG002	
AC183901.2_FG010	
AC183907.3_FG001	
AC183907.3_FG003	
AC183912.3_FG002	
AC183914.3_FG002	
AC183914.3_FG004	
AC183915.4_FG001	
AC183915.4_FG002	
AC183917.3_FG004	
AC183926.3_FG003	
AC183926.3_FG005	
AC183927.3_FG003	
AC183927.3_FG004	
AC183928.4_FG001	
AC183928.4_FG006	
AC183929.4_FG003	
AC183932.3_FG004	
AC183932.3_FG007	PF13632
AC183933.2_FG003	
AC183938.4_FG004	
AC183938.4_FG011	PF06839
AC183938.4_FG014	
AC183939.3_FG003	
AC183939.3_FG005	
AC183943.3_FG001	
AC183944.4_FG002	
AC183944.4_FG003	
AC183950.2_FG002	PF13912
AC183950.2_FG003	
AC183950.2_FG004	PF03168
AC183950.2_FG005	"PF01535,PF13041"
AC183956.3_FG002	
AC183968.2_FG001	
AC183969.3_FG001	
AC183969.3_FG003	
AC183969.3_FG008	
AC183974.4_FG001	
AC184048.4_FG002	
AC184048.4_FG011	
AC184048.4_FG013	
AC184050.2_FG002	
AC184050.2_FG004	
AC184112.4_FG010	PF04525
AC184113.4_FG001	
AC184116.3_FG001	
AC184119.3_FG004	
AC184127.3_FG003	
AC184129.2_FG002	
AC184130.4_FG001	
AC184130.4_FG005	PF02469
AC184130.4_FG012	
AC184131.5_FG003	
AC184131.5_FG010	PF03552
AC184132.3_FG007	
AC184133.3_FG001	
AC184133.3_FG004	
AC184138.4_FG003	
AC184164.2_FG004	
AC184164.2_FG005	
AC184164.2_FG006	PF01612
AC184165.4_FG001	
AC184168.3_FG004	
AC184169.3_FG001	
AC184170.4_FG002	
AC184171.4_FG002	
AC184171.4_FG003	
AC184172.3_FG001	
AC184172.3_FG004	
AC184691.2_FG001	
AC184694.3_FG007	
AC184698.4_FG004	
AC184699.3_FG005	PF05834
AC184700.4_FG003	
AC184702.3_FG001	
AC184703.5_FG001	
AC184705.4_FG001	
AC184706.2_FG001	
AC184707.3_FG004	
AC184764.3_FG003	PF03087
AC184764.3_FG006	
AC184765.4_FG004	
AC184765.4_FG005	
AC184766.3_FG002	
AC184768.3_FG001	
AC184770.3_FG001	
AC184771.4_FG003	
AC184772.3_FG001	
AC184774.4_FG002	
AC184775.2_FG002	
AC184776.3_FG003	
AC184778.3_FG002	
AC184780.3_FG004	
AC184781.4_FG010	
AC184782.3_FG004	
AC184783.3_FG005	
AC184787.2_FG002	
AC184787.2_FG003	
AC184788.2_FG001	
AC184789.4_FG002	
AC184790.3_FG003	
AC184794.2_FG003	PF00854
AC184831.3_FG003	
AC184831.3_FG005	PF00320
AC184831.3_FG008	PF00320
AC184832.2_FG001	
AC184832.2_FG002	
AC184834.3_FG005	
AC184834.3_FG007	PF07714
AC184835.3_FG003	PF01490
AC184836.3_FG002	
AC184836.3_FG003	
AC184845.4_FG004	
AC184851.4_FG005	
AC184854.4_FG001	
AC184854.4_FG003	
AC184856.3_FG002	
AC184856.3_FG007	
AC184857.2_FG006	
AC184858.3_FG003	
AC184859.3_FG001	
AC184859.3_FG002	
AC184865.4_FG003	
AC184866.3_FG004	
AC184866.3_FG005	
AC184866.3_FG007	PF00046
AC184868.2_FG005	
AC184868.2_FG006	
AC184871.2_FG002	PF00493
AC184871.2_FG009	
AC184873.4_FG001	
AC185108.3_FG006	
AC185108.3_FG007	
AC185108.3_FG008	
AC185108.3_FG010	
AC185108.3_FG011	PF13912
AC185111.3_FG003	
AC185111.3_FG004	
AC185112.2_FG002	
AC185115.2_FG005	
AC185121.3_FG001	PF14569
AC185122.3_FG008	PF00665
AC185122.3_FG009	PF00144
AC185126.3_FG002	
AC185126.3_FG006	PF13639
AC185128.2_FG002	
AC185130.2_FG004	PF01435
AC185130.2_FG005	
AC185213.3_FG003	PF13041
AC185216.4_FG002	
AC185217.3_FG002	PF00226
AC185217.3_FG003	
AC185217.3_FG004	
AC185217.3_FG007	
AC185218.4_FG004	
AC185218.4_FG007	
AC185222.5_FG001	
AC185222.5_FG002	
AC185223.3_FG005	
AC185223.3_FG007	
AC185224.4_FG005	
AC185226.4_FG001	"PF13374,PF12807,PF13236"
AC185226.4_FG006	PF01112
AC185226.4_FG007	
AC185228.4_FG002	
AC185233.3_FG012	
AC185234.4_FG001	
AC185234.4_FG005	
AC185251.3_FG002	
AC185251.3_FG005	
AC185252.4_FG002	
AC185254.4_FG002	
AC185254.4_FG004	
AC185254.4_FG005	
AC185256.3_FG002	
AC185256.3_FG003	
AC185257.3_FG002	
AC185260.3_FG003	
AC185261.4_FG002	
AC185262.2_FG003	
AC185265.3_FG003	
AC185269.4_FG003	
AC185272.3_FG005	
AC185276.2_FG003	
AC185276.2_FG004	
AC185276.2_FG006	PF05786
AC185277.2_FG001	
AC185279.3_FG002	
AC185281.5_FG006	
AC185286.3_FG012	
AC185287.3_FG001	
AC185296.2_FG006	
AC185299.3_FG002	
AC185300.4_FG002	
AC185301.3_FG001	
AC185301.3_FG005	
AC185304.4_FG008	
AC185304.4_FG010	
AC185305.3_FG003	
AC185306.4_FG004	
AC185309.5_FG001	
AC185310.4_FG002	
AC185313.5_FG001	
AC185313.5_FG006	
AC185314.4_FG008	
AC185321.3_FG003	
AC185322.3_FG008	
AC185322.3_FG010	
AC185322.3_FG011	"PF13968,PF04578"
AC185323.3_FG001	
AC185323.3_FG002	
AC185411.3_FG003	
AC185413.3_FG002	
AC185413.3_FG005	
AC185414.3_FG002	
AC185414.3_FG003	
AC185415.3_FG005	"PF00076,PF00641"
AC185418.3_FG006	
AC185418.3_FG007	
AC185421.3_FG003	
AC185421.3_FG005	
AC185422.3_FG005	PF01657
AC185427.5_FG001	
AC185427.5_FG004	
AC185429.3_FG005	
AC185430.3_FG003	
AC185434.4_FG004	PF01486
AC185436.3_FG004	
AC185436.3_FG005	
AC185438.2_FG001	
AC185442.3_FG002	
AC185443.3_FG004	
AC185445.3_FG001	
AC185448.2_FG005	
AC185449.3_FG006	
AC185453.3_FG002	
AC185455.3_FG001	
AC185458.4_FG003	
AC185460.3_FG004	PF13639
AC185464.3_FG001	
AC185464.3_FG003	
AC185466.3_FG001	
AC185467.3_FG001	
AC185468.3_FG002	
AC185468.3_FG003	PF01873
AC185471.3_FG005	PF01221
AC185473.3_FG005	
AC185474.3_FG005	
AC185474.3_FG009	
AC185475.3_FG001	
AC185478.4_FG004	
AC185478.4_FG005	PF11250
AC185478.4_FG007	
AC185479.3_FG006	
AC185481.5_FG001	
AC185482.3_FG001	
AC185487.4_FG001	
AC185487.4_FG003	
AC185489.3_FG001	
AC185489.3_FG002	
AC185490.4_FG001	
AC185492.2_FG005	
AC185498.3_FG007	
AC185500.3_FG001	
AC185500.3_FG004	
AC185500.3_FG005	PF04424
AC185501.3_FG001	
AC185501.3_FG006	
AC185504.4_FG001	
AC185504.4_FG002	
AC185504.4_FG006	
AC185504.4_FG008	
AC185504.4_FG009	
AC185510.3_FG001	
AC185514.3_FG007	
AC185519.3_FG002	PF14569
AC185522.2_FG001	
AC185522.2_FG002	
AC185530.2_FG003	
AC185530.2_FG004	
AC185530.2_FG005	
AC185531.2_FG001	PF13405
AC185586.4_FG003	
AC185587.3_FG003	
AC185588.2_FG002	
AC185588.2_FG008	
AC185591.4_FG017	
AC185593.3_FG002	
AC185593.3_FG003	PF08137
AC185596.3_FG014	
AC185601.3_FG007	
AC185601.3_FG008	
AC185602.3_FG004	
AC185603.4_FG007	PF01745
AC185604.3_FG002	
AC185605.3_FG003	
AC185605.3_FG004	
AC185606.2_FG003	
AC185608.3_FG001	
AC185610.3_FG001	
AC185610.3_FG003	
AC185611.3_FG001	
AC185611.3_FG004	
AC185612.3_FG002	PF02265
AC185612.3_FG006	
AC185619.4_FG005	
AC185623.4_FG010	
AC185623.4_FG012	
AC185625.4_FG004	
AC185628.3_FG010	
AC185630.3_FG002	
AC185631.4_FG001	
AC185632.3_FG001	
AC185642.4_FG001	PF08555
AC185642.4_FG006	
AC185645.4_FG006	
AC185648.3_FG001	
AC185648.3_FG007	PF14360
AC185649.2_FG003	PF08555
AC185651.3_FG005	
AC185654.3_FG006	
AC185655.3_FG004	PF13912
AC185655.3_FG005	PF13912
AC185655.3_FG008	
AC185655.3_FG010	
AC185656.3_FG002	
AC185660.3_FG003	PF08555
AC185662.2_FG003	
AC185665.3_FG004	
AC185665.3_FG008	
AC185667.3_FG007	
AC185667.3_FG008	
AC185668.3_FG001	
AC185668.3_FG004	
AC186009.3_FG001	
AC186013.3_FG001	
AC186013.3_FG002	
AC186015.3_FG005	
AC186020.3_FG003	
AC186021.3_FG001	
AC186023.2_FG004	
AC186026.3_FG003	
AC186026.3_FG004	
AC186028.3_FG002	
AC186028.3_FG003	
AC186030.3_FG003	
AC186143.3_FG001	
AC186143.3_FG008	
AC186145.3_FG002	
AC186146.3_FG002	
AC186147.3_FG008	PF05637
AC186156.3_FG004	
AC186156.3_FG005	
AC186159.3_FG005	
AC186164.3_FG001	
AC186165.2_FG002	PF08774
AC186166.3_FG008	PF00403
AC186166.3_FG015	
AC186166.3_FG018	
AC186189.3_FG004	
AC186189.3_FG005	
AC186195.4_FG001	
AC186220.4_FG002	
AC186220.4_FG004	
AC186222.3_FG003	
AC186222.3_FG004	
AC186223.3_FG003	PF00733
AC186226.5_FG004	
AC186227.3_FG003	
AC186227.3_FG005	
AC186227.3_FG009	
AC186228.4_FG003	
AC186231.4_FG002	
AC186233.3_FG007	
AC186233.3_FG009	
AC186234.3_FG002	
AC186234.3_FG003	
AC186234.3_FG005	
AC186282.3_FG003	
AC186283.4_FG002	
AC186284.3_FG007	PF14111
AC186284.3_FG008	
AC186287.7_FG003	
AC186287.7_FG005	"PF12738,PF03031"
AC186287.7_FG013	
AC186288.3_FG003	
AC186302.3_FG004	
AC186302.3_FG005	
AC186302.3_FG006	
AC186302.3_FG013	
AC186306.3_FG001	
AC186307.4_FG001	
AC186308.4_FG006	
AC186309.3_FG002	
AC186309.3_FG005	
AC186309.3_FG006	
AC186310.4_FG004	
AC186314.4_FG003	
AC186317.3_FG002	
AC186322.4_FG001	
AC186322.4_FG003	
AC186322.4_FG005	
AC186323.3_FG008	
AC186329.3_FG006	
AC186329.3_FG007	
AC186329.3_FG009	
AC186333.2_FG006	PF07741
AC186335.3_FG003	
AC186336.4_FG006	
AC186336.4_FG011	
AC186337.3_FG003	
AC186337.3_FG006	
AC186339.3_FG001	
AC186339.3_FG004	
AC186339.3_FG008	
AC186340.4_FG004	
AC186341.4_FG002	
AC186370.2_FG007	
AC186371.3_FG005	
AC186372.4_FG001	
AC186374.4_FG003	
AC186374.4_FG004	
AC186375.3_FG001	
AC186377.3_FG005	
AC186379.3_FG001	PF13041
AC186399.3_FG002	
AC186404.3_FG002	
AC186406.4_FG005	
AC186406.4_FG006	
AC186406.4_FG008	
AC186408.5_FG005	
AC186409.4_FG002	
AC186412.4_FG011	
AC186412.4_FG012	
AC186414.3_FG009	
AC186415.2_FG003	
AC186416.3_FG001	
AC186417.3_FG002	
AC186417.3_FG004	
AC186417.3_FG005	
AC186417.3_FG006	
AC186417.3_FG007	
AC186419.4_FG002	
AC186420.3_FG002	
AC186424.4_FG006	
AC186424.4_FG008	
AC186424.4_FG009	
AC186424.4_FG010	
AC186431.5_FG001	
AC186433.4_FG001	
AC186438.3_FG004	
AC186493.4_FG002	
AC186500.3_FG001	
AC186506.3_FG001	
AC186506.3_FG002	
AC186512.3_FG007	
AC186516.3_FG003	
AC186518.3_FG003	
AC186519.4_FG002	PF02519
AC186519.4_FG009	
AC186522.3_FG001	
AC186522.3_FG003	
AC186524.3_FG005	PF00505
AC186524.3_FG006	
AC186525.4_FG005	
AC186529.4_FG001	
AC186529.4_FG009	
AC186529.4_FG014	PF00301
AC186563.4_FG004	
AC186565.3_FG002	
AC186566.4_FG001	
AC186570.3_FG001	
AC186573.3_FG002	
AC186574.3_FG002	
AC186577.3_FG006	PF04043
AC186579.3_FG006	
AC186579.3_FG007	PF13639
AC186580.4_FG004	
AC186581.3_FG003	
AC186582.3_FG005	
AC186582.3_FG012	
AC186583.3_FG004	
AC186585.4_FG002	PF01195
AC186585.4_FG003	
AC186586.4_FG001	
AC186588.3_FG002	
AC186589.3_FG003	
AC186589.3_FG007	
AC186590.3_FG005	
AC186590.3_FG006	
AC186592.3_FG002	
AC186592.3_FG003	
AC186601.4_FG003	
AC186602.4_FG003	
AC186603.6_FG003	PF00067
AC186604.4_FG003	PF01134
AC186606.4_FG003	PF00170
AC186607.3_FG001	
AC186607.3_FG003	
AC186611.4_FG005	
AC186612.3_FG001	
AC186613.4_FG003	
AC186614.3_FG002	
AC186619.3_FG001	
AC186620.3_FG011	
AC186623.5_FG003	
AC186626.4_FG004	
AC186626.4_FG005	
AC186627.4_FG002	
AC186627.4_FG005	
AC186645.3_FG002	
AC186647.3_FG001	
AC186648.3_FG004	
AC186653.4_FG003	
AC186653.4_FG005	
AC186656.4_FG004	
AC186656.4_FG012	
AC186657.3_FG004	
AC186661.3_FG004	
AC186663.3_FG002	
AC186663.3_FG006	
AC186667.3_FG007	
AC186667.3_FG008	
AC186669.3_FG002	
AC186680.3_FG005	
AC186680.3_FG006	
AC186683.3_FG004	
AC186684.4_FG001	
AC186684.4_FG005	
AC186689.3_FG001	
AC186691.4_FG003	
AC186691.4_FG006	
AC186691.4_FG009	
AC186743.4_FG003	PF04570
AC186743.4_FG011	
AC186744.4_FG002	
AC186780.4_FG001	
AC186781.4_FG006	
AC186782.4_FG001	
AC186782.4_FG003	
AC186783.3_FG002	
AC186783.3_FG003	
AC186785.4_FG002	
AC186789.4_FG001	
AC186792.3_FG002	
AC186798.2_FG002	
AC186800.3_FG002	
AC186800.3_FG005	
AC186802.4_FG002	PF00067
AC186805.5_FG005	
AC186807.4_FG002	
AC186808.4_FG004	
AC186809.3_FG003	
AC186811.3_FG003	
AC186815.3_FG002	
AC186815.3_FG003	
AC186818.3_FG003	
AC186819.3_FG004	
AC186828.3_FG001	
AC186831.3_FG002	
AC186845.4_FG009	
AC186862.2_FG001	
AC186884.3_FG005	
AC186885.3_FG003	
AC186887.4_FG002	
AC186888.2_FG006	
AC186891.3_FG004	
AC186891.3_FG005	
AC186893.4_FG004	
AC186894.3_FG002	
AC186897.4_FG005	
AC186897.4_FG006	
AC186897.4_FG009	
AC186897.4_FG016	
AC186902.4_FG001	
AC186902.4_FG002	
AC186902.4_FG006	
AC186902.4_FG009	PF04759
AC186904.4_FG006	
AC186904.4_FG007	
AC186905.3_FG013	
AC187032.5_FG003	
AC187034.3_FG002	
AC187037.4_FG005	
AC187037.4_FG008	
AC187038.3_FG003	
AC187038.3_FG005	
AC187039.3_FG005	
AC187046.3_FG009	
AC187047.5_FG006	
AC187050.4_FG004	PF06102
AC187055.3_FG001	
AC187055.3_FG006	
AC187056.3_FG002	
AC187057.3_FG001	
AC187065.3_FG002	
AC187065.3_FG003	
AC187067.4_FG001	
AC187072.4_FG001	
AC187072.4_FG002	PF01612
AC187073.4_FG007	
AC187076.4_FG004	
AC187078.3_FG002	
AC187078.3_FG005	
AC187080.3_FG006	
AC187080.3_FG007	
AC187082.3_FG002	PF10373
AC187082.3_FG003	
AC187085.3_FG003	
AC187086.3_FG001	
AC187086.3_FG004	
AC187087.4_FG001	
AC187087.4_FG003	
AC187088.3_FG002	PF00625
AC187090.3_FG003	
AC187090.3_FG004	
AC187090.3_FG011	
AC187091.5_FG001	
AC187091.5_FG002	
AC187092.6_FG003	
AC187093.4_FG002	
AC187094.4_FG002	
AC187094.4_FG005	
AC187096.5_FG001	
AC187098.4_FG002	
AC187098.4_FG003	
AC187098.4_FG011	PF00855
AC187099.5_FG005	
AC187100.4_FG001	
AC187142.3_FG001	
AC187142.3_FG007	
AC187147.4_FG001	
AC187147.4_FG002	
AC187147.4_FG003	
AC187153.4_FG002	
AC187157.4_FG001	PF00847
AC187157.4_FG002	PF05172
AC187157.4_FG005	"PF00046,PF08670,PF01852"
AC187157.4_FG007	
AC187160.3_FG003	
AC187162.3_FG002	
AC187205.3_FG001	
AC187205.3_FG002	
AC187205.3_FG003	
AC187205.3_FG004	
AC187207.3_FG001	
AC187207.3_FG006	
AC187207.3_FG010	
AC187209.5_FG003	
AC187209.5_FG010	
AC187209.5_FG011	
AC187211.4_FG005	
AC187212.3_FG004	
AC187212.3_FG005	
AC187212.3_FG009	
AC187212.3_FG011	
AC187215.4_FG001	
AC187218.4_FG001	
AC187222.4_FG001	
AC187223.4_FG001	
AC187223.4_FG004	
AC187224.4_FG004	
AC187232.2_FG004	
AC187232.2_FG005	
AC187235.3_FG002	
AC187235.3_FG003	
AC187237.3_FG004	
AC187240.3_FG004	
AC187241.4_FG001	
AC187243.3_FG005	
AC187244.4_FG004	
AC187245.3_FG002	
AC187245.3_FG003	
AC187248.6_FG001	
AC187251.5_FG002	
AC187251.5_FG003	
AC187253.4_FG002	
AC187254.6_FG001	
AC187255.3_FG002	
AC187256.3_FG001	
AC187256.3_FG005	
AC187260.3_FG007	
AC187261.3_FG002	
AC187262.4_FG007	
AC187263.4_FG001	
AC187266.3_FG001	
AC187279.3_FG003	
AC187279.3_FG004	
AC187280.3_FG001	
AC187281.4_FG002	
AC187282.3_FG005	
AC187283.3_FG005	
AC187285.5_FG004	PF00862
AC187286.4_FG004	
AC187287.3_FG012	
AC187340.3_FG002	
AC187384.4_FG001	
AC187388.4_FG001	
AC187392.3_FG006	
AC187393.3_FG001	
AC187394.3_FG004	
AC187401.3_FG006	
AC187404.3_FG003	
AC187404.3_FG006	
AC187404.3_FG008	
AC187406.4_FG001	
AC187408.3_FG003	
AC187409.4_FG002	
AC187409.4_FG008	
AC187460.4_FG001	
AC187460.4_FG002	
AC187469.3_FG004	
AC187469.3_FG005	
AC187475.4_FG002	
AC187485.3_FG001	
AC187547.4_FG010	
AC187551.3_FG002	"PF01535,PF13041"
AC187553.4_FG010	
AC187555.4_FG002	
AC187555.4_FG010	
AC187556.4_FG001	
AC187557.3_FG001	
AC187559.2_FG006	
AC187559.2_FG013	
AC187560.5_FG003	PF09425
AC187560.5_FG006	
AC187565.4_FG003	
AC187566.4_FG003	
AC187567.4_FG004	
AC187568.4_FG009	
AC187656.2_FG003	
AC187656.2_FG005	
AC187775.3_FG008	
AC187779.3_FG006	
AC187779.3_FG007	
AC187782.4_FG008	PF04502
AC187782.4_FG009	PF06376
AC187788.3_FG001	
AC187788.3_FG008	PF03514
AC187789.3_FG001	
AC187792.3_FG008	PF07714
AC187793.3_FG001	
AC187800.4_FG003	
AC187802.3_FG001	
AC187802.3_FG008	
AC187802.3_FG010	
AC187809.3_FG005	PF02902
AC187809.3_FG006	
AC187813.3_FG001	
AC187813.3_FG002	
AC187813.3_FG004	
AC187818.3_FG001	
AC187818.3_FG004	
AC187819.3_FG003	
AC187820.2_FG001	PF14111
AC187820.2_FG007	
AC187826.3_FG007	
AC187826.3_FG009	
AC187830.4_FG004	
AC187831.3_FG002	
AC187831.3_FG005	
AC187840.3_FG002	
AC187843.3_FG001	
AC187843.3_FG006	
AC187843.3_FG010	PF02365
AC187843.3_FG012	
AC187869.3_FG004	
AC187870.3_FG002	
AC187870.3_FG003	
AC187872.3_FG005	
AC187874.3_FG005	
AC187875.3_FG006	PF00483
AC187875.3_FG009	PF00689
AC187879.3_FG001	
AC187881.4_FG005	
AC187883.4_FG002	
AC187883.4_FG004	
AC187885.3_FG002	
AC187885.3_FG005	
AC187887.3_FG008	
AC187891.3_FG001	
AC187891.3_FG006	PF04844
AC187893.3_FG003	
AC187895.2_FG001	
AC187895.2_FG002	
AC187896.3_FG006	
AC187897.3_FG002	
AC187899.3_FG002	
AC187901.4_FG002	PF08646
AC187901.4_FG004	
AC187902.3_FG006	
AC187903.3_FG004	
AC187904.3_FG004	
AC187910.5_FG002	
AC187910.5_FG006	
AC187911.3_FG004	
AC187917.3_FG001	
AC187919.5_FG007	
AC187919.5_FG010	PF14570
AC187920.3_FG001	
AC188000.3_FG003	
AC188000.3_FG006	
AC188001.3_FG009	PF02840
AC188003.3_FG011	
AC188003.3_FG012	
AC188005.3_FG003	
AC188008.3_FG005	
AC188008.3_FG007	
AC188008.3_FG008	
AC188010.3_FG002	
