genes	Pfam
AC185593.3_FG003	PF08137
AC185603.4_FG007	PF01745
AC185612.3_FG002	PF02265
AC185642.4_FG001	PF08555
AC185648.3_FG007	PF14360
AC185649.2_FG003	PF08555
AC185655.3_FG004	PF13912
AC185655.3_FG005	PF13912
AC185660.3_FG003	PF08555
AC186147.3_FG008	PF05637
AC186165.2_FG002	PF08774
AC186166.3_FG008	PF00403
AC186223.3_FG003	PF00733
AC186284.3_FG007	PF14111
AC186287.7_FG005	"PF12738,PF03031"
AC186333.2_FG006	PF07741
AC186379.3_FG001	PF13041
AC186519.4_FG002	PF02519
AC186524.3_FG005	PF00505
AC186529.4_FG014	PF00301
AC186577.3_FG006	PF04043
AC186579.3_FG007	PF13639
AC186585.4_FG002	PF01195
AC186603.6_FG003	PF00067
AC186604.4_FG003	PF01134
AC186606.4_FG003	PF00170
AC186743.4_FG003	PF04570
AC186802.4_FG002	PF00067
AC186902.4_FG009	PF04759
AC187050.4_FG004	PF06102
AC187072.4_FG002	PF01612
AC187082.3_FG002	PF10373
AC187088.3_FG002	PF00625
AC187098.4_FG011	PF00855
AC187157.4_FG001	PF00847
AC187157.4_FG002	PF05172
AC187157.4_FG005	"PF00046,PF08670,PF01852"
AC187285.5_FG004	PF00862
AC187551.3_FG002	"PF01535,PF13041"
AC187560.5_FG003	PF09425
AC187782.4_FG008	PF04502
AC187782.4_FG009	PF06376
AC187788.3_FG008	PF03514
AC187792.3_FG008	PF07714
AC187809.3_FG005	PF02902
AC187820.2_FG001	PF14111
AC187843.3_FG010	PF02365
AC187875.3_FG006	PF00483
AC187875.3_FG009	PF00689
AC187891.3_FG006	PF04844
AC187901.4_FG002	PF08646
AC187919.5_FG010	PF14570
AC188001.3_FG009	PF02840
AC188023.3_FG005	PF11341
AC188024.3_FG003	PF07714
AC188195.2_FG003	PF00280
AC188195.2_FG004	PF00280
AC188195.2_FG005	PF00280
AC188710.4_FG006	"PF04578,PF13968"
AC188718.3_FG005	PF03478
AC188718.3_FG011	PF03478
AC188718.3_FG015	PF03478
AC188752.3_FG011	"PF12624,PF16908"
AC188759.3_FG010	PF13041
AC188832.5_FG005	PF01486
AC188838.3_FG005	PF13537
AC189061.3_FG004	PF00069
AC189280.3_FG001	PF00439
AC189750.4_FG004	"PF00085,PF01507"
AC189754.3_FG004	PF01749
AC189795.3_FG001	PF14303
AC189879.3_FG003	"PF16487,PF16488,PF08699,PF16486,PF02170,PF02171"
AC190480.1_FG007	PF06813
AC190499.1_FG003	"PF03101,PF13365"
AC190518.1_FG002	PF03214
AC190560.2_FG002	PF02152
AC190561.3_FG002	PF07992
AC190582.4_FG011	PF13855
AC190588.3_FG003	PF12701
AC190609.3_FG001	PF07716
AC190609.3_FG002	PF01781
AC190609.3_FG003	"PF08079,PF00327"
AC190609.3_FG004	PF00026
AC190623.3_FG001	PF07123
AC190632.2_FG004	PF00071
AC190636.3_FG005	"PF03171,PF14226"
AC190638.3_FG001	PF08555
AC190682.3_FG014	PF03169
AC190688.3_FG006	PF01453
AC190700.3_FG002	PF14543
AC190713.3_FG004	PF16205
AC190716.3_FG001	PF00069
AC190734.2_FG003	PF03634
AC190740.2_FG004	PF02889
AC190749.3_FG006	PF03637
AC190750.2_FG014	PF00646
AC190753.4_FG002	PF00931
AC190772.4_FG011	PF00190
AC190788.2_FG005	PF00488
AC190807.2_FG001	PF00161
AC190822.2_FG003	PF09118
AC190829.3_FG002	PF00827
AC190834.3_FG005	PF13086
AC190850.3_FG004	PF08263
AC190853.3_FG004	PF13041
AC190859.3_FG006	PF14569
AC190885.4_FG006	PF04525
AC190909.3_FG003	"PF04652,PF14288"
AC190909.3_FG004	PF02364
AC190915.3_FG007	PF13920
AC190933.3_FG004	PF00582
AC190936.1_FG004	PF08627
AC190981.2_FG007	PF05340
AC190990.2_FG005	PF16900
AC190999.2_FG004	"PF00536,PF07522"
AC191042.4_FG001	PF13962
AC191048.2_FG006	PF03208
AC191050.3_FG003	PF00190
AC191069.3_FG004	PF09597
AC191071.3_FG001	PF13738
AC191097.3_FG007	PF03188
AC191246.3_FG006	"PF12854,PF13812,PF01535"
AC191251.3_FG005	PF04078
AC191264.3_FG002	PF13398
AC191272.3_FG003	PF14144
AC191279.2_FG001	PF02365
AC191279.2_FG003	PF02365
AC191283.3_FG004	"PF13855,PF08263"
AC191287.2_FG001	PF08519
AC191287.2_FG003	PF04937
AC191325.3_FG005	PF00069
AC191330.3_FG009	PF01535
AC191359.3_FG003	PF02892
AC191375.3_FG001	PF05498
AC191379.3_FG002	PF07885
AC191412.3_FG002	PF00118
AC191523.3_FG001	PF04152
AC191524.3_FG007	PF03092
AC191534.3_FG003	"PF00097,PF02182"
AC191551.3_FG003	"PF08541,PF08545"
AC191575.2_FG001	PF13419
AC191622.3_FG003	PF03641
AC191623.3_FG007	PF13528
AC191650.3_FG003	PF13639
AC191676.3_FG011	PF00011
AC191748.3_FG001	PF14303
AC191775.4_FG004	PF14700
AC191802.3_FG004	PF03662
AC191961.3_FG009	PF13086
AC192236.3_FG007	PF00931
AC192244.3_FG002	"PF00012,PF03360"
AC192244.3_FG007	PF01467
AC192251.3_FG001	PF16900
AC192362.3_FG003	PF00164
AC192377.3_FG002	PF00390
AC192451.3_FG001	PF02453
AC192606.3_FG003	PF00098
AC193355.3_FG005	PF05879
AC193362.3_FG002	PF01157
AC193379.3_FG001	"PF08263,PF07714"
AC193388.3_FG003	PF03000
AC193485.3_FG005	PF00112
AC193500.3_FG003	"PF13738,PF00743"
AC193576.3_FG003	PF00280
AC193598.3_FG002	"PF13855,PF00931"
AC193625.3_FG007	PF00005
AC193630.3_FG003	PF03106
AC193632.2_FG002	PF00069
AC193645.3_FG006	"PF04578,PF13968"
AC193754.3_FG008	"PF05188,PF01624,PF05192"
AC193767.3_FG003	PF02362
AC193786.3_FG005	PF00010
AC193957.3_FG009	PF01453
AC194017.3_FG001	PF00012
AC194027.3_FG001	PF00141
AC194056.3_FG008	PF05678
AC194069.3_FG003	"PF00467,PF00900"
AC194074.4_FG003	PF09790
AC194095.3_FG004	PF13963
AC194104.3_FG007	PF08711
AC194112.3_FG001	PF01061
AC194133.3_FG004	PF00281
AC194137.3_FG008	PF04570
AC194163.3_FG001	PF12776
AC194172.3_FG008	PF04857
AC194192.3_FG002	PF00082
AC194203.3_FG003	PF14368
AC194259.3_FG002	PF00258
AC194264.3_FG006	PF06602
AC194289.3_FG004	PF03108
AC194296.3_FG001	"PF00623,PF15469"
AC194338.3_FG008	PF10294
AC194341.4_FG002	PF04718
AC194341.4_FG003	PF07738
AC194341.4_FG004	"PF00646,PF08387"
AC194341.4_FG008	PF00091
AC194350.3_FG001	PF00022
AC194362.3_FG003	PF03106
AC194376.3_FG002	PF09790
AC194405.3_FG021	PF13589
AC194442.3_FG004	PF03547
AC194447.3_FG002	PF07890
AC194457.3_FG001	"PF07690,PF00083"
AC194480.3_FG001	PF00280
AC194480.3_FG003	PF00280
AC194592.2_FG001	PF08241
AC194610.2_FG001	PF01823
AC194628.3_FG003	PF00982
AC194734.3_FG004	PF00504
AC194828.3_FG004	PF06521
AC194852.3_FG007	"PF00544,PF04431"
AC194852.3_FG010	PF06376
AC194853.1_FG002	PF05129
AC194863.3_FG006	PF03055
AC194886.3_FG015	PF14569
AC194914.3_FG002	PF10604
AC194965.4_FG001	"PF01590,PF02518,PF00512"
AC194965.4_FG004	PF00320
AC194970.5_FG001	PF00348
AC194970.5_FG002	PF05687
AC194970.5_FG004	PF13320
AC194970.5_FG005	PF03151
AC194970.5_FG009	PF06068
AC194972.2_FG001	PF13912
AC194974.3_FG005	PF00139
AC195059.3_FG003	PF04424
AC195147.3_FG001	PF00651
AC195154.3_FG004	PF01843
AC195172.3_FG001	"PF01012,PF00766"
AC195207.2_FG002	PF12776
AC195211.3_FG001	PF00900
AC195220.3_FG005	PF02902
AC195220.3_FG007	PF03348
AC195230.2_FG003	PF00069
AC195307.3_FG001	PF16900
AC195319.3_FG001	"PF13193,PF03283"
AC195323.3_FG011	PF04030
AC195340.3_FG001	"PF03953,PF00091"
AC195340.3_FG002	PF12838
AC195340.3_FG004	"PF02309,PF14383"
AC195343.3_FG002	PF00166
AC195349.3_FG005	PF00069
AC195366.3_FG008	"PF03371,PF01704"
AC195401.3_FG002	PF05770
AC195466.3_FG001	PF08700
AC195580.2_FG010	PF07911
AC195587.4_FG001	PF00319
AC195587.4_FG003	PF04601
AC195587.4_FG004	"PF12697,PF00931"
AC195587.4_FG005	PF01486
AC195671.2_FG001	PF00743
AC195685.3_FG001	"PF12708,PF08423"
AC195785.3_FG004	"PF08276,PF01453,PF00069"
AC195789.3_FG001	"PF13371,PF13414"
AC195794.3_FG002	PF07883
AC195825.3_FG001	"PF01535,PF13041"
AC195828.3_FG002	PF00069
AC195833.3_FG001	PF00225
AC195860.3_FG005	PF06747
AC195860.3_FG006	PF00687
AC195864.3_FG017	PF01535
AC195874.2_FG002	PF01217
AC195995.3_FG006	PF12776
AC196008.1_FG004	PF11250
AC196020.3_FG001	PF14291
AC196031.3_FG006	PF00862
AC196037.3_FG001	PF05928
AC196090.3_FG006	"PF02225,PF05922,PF00082"
AC196135.3_FG006	PF14303
AC196144.3_FG002	"PF00467,PF12842,PF16415"
AC196161.3_FG002	PF13837
AC196166.3_FG003	PF03096
AC196183.3_FG002	"PF07714,PF08276"
AC196193.3_FG003	"PF02721,PF08646"
AC196201.3_FG005	PF04068
AC196278.2_FG003	PF03104
AC196278.2_FG004	PF03104
AC196294.3_FG005	PF01486
AC196412.3_FG001	PF00282
AC196417.3_FG008	PF00304
AC196426.3_FG007	PF05879
AC196436.3_FG002	PF13963
AC196437.3_FG001	PF01282
AC196441.3_FG004	PF00862
AC196465.3_FG002	PF05078
AC196465.3_FG006	"PF15613,PF15612,PF05066,PF02791"
AC196475.3_FG004	"PF08100,PF00891"
AC196475.3_FG005	PF02365
AC196489.3_FG002	"PF00298,PF03946"
AC196502.3_FG003	"PF16709,PF16712"
AC196502.3_FG006	PF04601
AC196637.2_FG002	"PF14432,PF01535,PF13041"
AC196686.3_FG001	PF14569
AC196708.3_FG006	PF02519
AC196710.3_FG009	PF05633
AC196711.3_FG003	PF12230
AC196779.3_FG003	PF03767
AC196954.2_FG012	PF03168
AC196961.2_FG003	PF15511
AC196961.2_FG008	PF06972
AC196972.3_FG009	PF13893
AC196978.5_FG007	PF00160
AC197007.3_FG007	PF03662
AC197016.3_FG003	PF03092
AC197029.3_FG003	PF00069
AC197047.3_FG001	PF04570
AC197078.4_FG002	PF00076
AC197095.3_FG004	"PF01535,PF13041"
AC197118.3_FG005	PF10357
AC197122.3_FG003	PF04065
AC197124.3_FG004	PF06093
AC197143.3_FG007	PF00188
AC197146.3_FG001	PF02724
AC197146.3_FG002	PF00249
AC197150.3_FG003	"PF00027,PF00520"
AC197164.4_FG002	PF16900
AC197168.3_FG001	PF00202
AC197196.3_FG002	PF01593
AC197242.3_FG001	PF02458
AC197246.3_FG001	PF00025
AC197246.3_FG003	PF01655
AC197333.2_FG001	PF01959
AC197354.3_FG002	PF00072
AC197362.3_FG002	PF00069
AC197364.3_FG007	PF02365
AC197429.3_FG001	PF03514
AC197435.3_FG002	"PF09713,PF16969"
AC197446.3_FG009	PF00112
AC197498.3_FG002	PF13637
AC197541.3_FG009	PF03283
AC197544.3_FG001	"PF00270,PF06045"
AC197544.3_FG002	PF02902
AC197555.3_FG007	"PF13041,PF01535"
AC197555.3_FG008	PF02502
AC197575.3_FG005	PF03572
AC197575.3_FG008	PF00244
AC197577.2_FG002	PF08557
AC197578.4_FG001	"PF01915,PF00933"
AC197672.3_FG002	"PF00364,PF13535,PF02785,PF00289,PF08326,PF01039"
AC197699.3_FG001	PF01486
AC197699.3_FG002	PF03055
AC197699.3_FG003	"PF04601,PF14226,PF03171"
AC197699.3_FG005	PF05129
AC197699.3_FG008	PF05129
AC197699.3_FG009	PF05129
AC197699.3_FG010	PF05129
AC197705.4_FG001	"PF02775,PF00205,PF02776"
AC197705.4_FG003	PF01161
AC197705.4_FG004	PF13639
AC197705.4_FG006	PF13920
AC197705.4_FG007	"PF07244,PF01103"
AC197705.4_FG008	PF05097
AC197705.4_FG011	PF01704
AC197714.3_FG005	PF02181
AC197717.3_FG002	"PF16136,PF16135,PF07897"
AC197718.3_FG002	PF14303
AC197758.3_FG004	PF00141
AC197764.4_FG003	"PF06200,PF09425"
AC197783.3_FG005	PF02683
AC197910.3_FG001	PF00010
AC197914.2_FG001	PF04727
AC198081.2_FG005	PF13912
AC198118.4_FG002	PF00067
AC198169.4_FG004	"PF04851,PF00271"
AC198179.4_FG001	PF03372
AC198179.4_FG002	PF03372
AC198206.5_FG001	"PF01565,PF04030"
AC198206.5_FG002	PF02171
AC198225.4_FG002	PF02148
AC198353.5_FG001	PF00450
AC198353.5_FG004	"PF13847,PF01029"
AC198361.3_FG004	PF00076
AC198366.3_FG004	PF03514
AC198380.3_FG001	PF00759
AC198398.3_FG005	PF07714
AC198403.3_FG001	PF00847
AC198418.3_FG005	"PF04851,PF00098,PF08152,PF00271"
AC198476.3_FG004	PF02892
AC198481.3_FG004	"PF02259,PF00454"
AC198506.3_FG001	PF13912
AC198509.3_FG004	PF06916
AC198515.3_FG011	PF03169
AC198518.3_FG002	PF00536
AC198518.3_FG003	PF15249
AC198518.3_FG005	PF00010
AC198597.4_FG001	"PF00141,PF14009"
AC198699.3_FG004	"PF01070,PF04078"
AC198700.2_FG004	PF00854
AC198725.4_FG004	PF04844
AC198725.4_FG007	"PF12717,PF09066,PF01602"
AC198725.4_FG009	PF03106
AC198731.3_FG004	PF01535
AC198743.3_FG008	PF13041
AC198749.3_FG004	PF01208
AC198937.4_FG002	PF14569
AC198937.4_FG005	PF02365
AC198971.3_FG006	PF02866
AC198979.4_FG009	PF00847
AC199001.3_FG005	"PF16486,PF12764"
AC199039.3_FG003	PF00076
AC199067.2_FG004	PF04520
AC199068.2_FG017	PF00931
AC199175.2_FG003	PF04646
AC199175.2_FG006	PF01776
AC199198.3_FG005	PF07651
AC199314.3_FG002	PF02892
AC199315.4_FG001	PF03911
AC199343.3_FG013	PF00462
AC199363.4_FG003	PF13414
AC199379.4_FG001	PF16900
AC199439.4_FG005	"PF00069,PF00012"
AC199487.4_FG002	PF00280
AC199487.4_FG003	PF00280
AC199487.4_FG004	PF00280
AC199488.4_FG003	PF00280
AC199488.4_FG004	PF00280
AC199526.5_FG002	"PF00438,PF02772,PF02773"
AC199526.5_FG003	PF01985
AC199541.4_FG001	PF00201
AC199541.4_FG002	PF00201
AC199541.4_FG004	PF00201
AC199541.4_FG007	PF00201
AC199543.4_FG004	PF07762
AC199571.3_FG004	PF00085
AC199572.3_FG001	PF07714
AC199701.4_FG001	PF03004
AC199765.4_FG008	PF00759
AC199771.4_FG001	PF08137
AC199782.5_FG001	PF01656
AC199782.5_FG002	"PF01154,PF08540"
AC199782.5_FG003	PF03634
AC199810.3_FG003	PF00069
AC199820.4_FG006	PF00249
AC199826.4_FG003	PF00989
AC199884.4_FG007	"PF01416,PF03141"
AC199908.4_FG002	PF01301
AC199908.4_FG003	PF01564
AC199911.5_FG001	PF01813
AC199917.4_FG003	PF07714
AC200057.4_FG006	PF14303
AC200057.4_FG007	PF00170
AC200099.4_FG006	PF00067
AC200101.4_FG002	PF00012
AC200108.4_FG003	PF06814
AC200112.4_FG007	PF12678
AC200124.3_FG005	PF03514
AC200210.1_FG006	PF00675
AC200211.3_FG008	PF00069
AC200298.4_FG001	PF00403
AC200321.3_FG004	PF02453
AC200493.4_FG001	PF16712
AC200745.4_FG007	PF14363
AC200753.3_FG003	"PF00168,PF08372"
AC201815.4_FG001	"PF01535,PF13041"
AC201832.3_FG006	PF00808
AC201894.4_FG007	PF01504
AC202011.3_FG010	PF03087
AC202069.3_FG002	PF00067
AC202073.4_FG001	PF07887
AC202110.3_FG004	PF00005
AC202120.3_FG003	PF09180
AC202132.4_FG002	PF03619
AC202139.3_FG008	PF00270
AC202158.3_FG002	PF16113
AC202172.3_FG004	PF00304
AC202179.3_FG005	PF13041
AC202181.3_FG003	PF13087
AC202185.4_FG004	PF00011
AC202386.3_FG002	"PF04053,PF06957"
AC202391.4_FG002	PF00098
AC202435.3_FG001	PF08238
AC202435.3_FG003	PF00149
AC202439.3_FG006	PF00474
AC202561.3_FG009	PF00067
AC202707.3_FG002	PF01088
AC202855.3_FG004	PF04535
AC202864.3_FG002	PF00320
AC202867.3_FG008	PF00403
AC202895.3_FG002	PF06733
AC202915.3_FG002	PF00300
AC202974.3_FG004	PF03168
AC203019.3_FG001	PF00337
AC203031.3_FG002	PF08612
AC203041.3_FG005	PF00141
AC203049.3_FG002	PF14570
AC203051.3_FG003	PF08392
AC203159.3_FG010	PF02298
AC203173.3_FG001	"PF13178,PF00612"
AC203173.3_FG002	"PF08263,PF00560,PF00069,PF13855"
AC203173.3_FG004	"PF14492,PF03144,PF00679,PF03764,PF00009"
AC203227.3_FG001	PF04759
AC203257.2_FG003	PF12678
AC203262.3_FG002	PF04398
AC203280.3_FG001	PF00076
AC203294.3_FG001	"PF13499,PF07714"
AC203294.3_FG012	PF05678
AC203324.3_FG010	PF13912
AC203334.2_FG001	PF00892
AC203352.3_FG001	PF04107
AC203362.4_FG012	PF01095
AC203408.4_FG003	PF00759
AC203423.3_FG009	PF14111
AC203424.3_FG001	PF07774
AC203535.4_FG001	"PF13921,PF11831"
AC203535.4_FG002	PF02365
AC203535.4_FG004	PF13806
AC203535.4_FG007	PF07714
AC203535.4_FG009	PF04545
AC203570.4_FG005	PF00855
AC203581.4_FG001	PF00190
AC203752.5_FG002	PF00133
AC203753.4_FG006	PF01055
AC203754.4_FG008	PF00696
AC203761.3_FG002	"PF01751,PF01131"
AC203768.3_FG005	PF01435
AC203810.4_FG002	PF14695
AC203841.3_FG002	"PF14432,PF01535,PF13041"
AC203841.3_FG009	PF04080
AC203862.4_FG001	PF01650
AC203862.4_FG002	PF00855
AC203865.3_FG001	PF03638
AC203900.3_FG006	PF13855
AC203909.3_FG003	"PF08031,PF01565"
AC203909.3_FG007	"PF08031,PF01565"
AC203955.3_FG005	PF07466
AC203956.3_FG004	PF05697
AC203957.3_FG004	PF00170
AC203966.5_FG003	PF03629
AC203966.5_FG005	"PF14226,PF03171"
AC203966.5_FG006	PF00232
AC203967.4_FG004	PF00675
AC203971.3_FG005	PF13962
AC203972.3_FG001	PF00931
AC203972.3_FG002	PF07714
AC203985.4_FG001	PF07690
AC203985.4_FG005	PF01920
AC203989.4_FG001	PF07847
AC204000.2_FG001	PF14569
AC204007.3_FG001	PF12695
AC204050.4_FG006	PF14531
AC204070.3_FG004	PF00063
AC204212.4_FG001	PF00249
AC204277.3_FG006	PF03141
AC204292.4_FG002	"PF14432,PF01535,PF13041"
AC204292.4_FG003	PF00168
AC204292.4_FG006	"PF05922,PF00082"
AC204301.3_FG002	PF11250
AC204306.3_FG007	PF13639
AC204359.3_FG005	PF03151
AC204382.3_FG010	PF01486
AC204407.3_FG004	PF00931
AC204437.3_FG004	PF10294
AC204472.3_FG002	PF13532
AC204502.4_FG006	"PF13724,PF04844"
AC204512.3_FG002	PF00847
AC204515.4_FG006	"PF04578,PF13968"
AC204530.4_FG002	PF08637
AC204530.4_FG003	PF00191
AC204530.4_FG006	"PF01504,PF02493"
AC204539.4_FG003	PF00235
AC204563.3_FG011	PF14932
AC204591.3_FG002	PF02704
AC204621.4_FG006	PF03514
AC204625.4_FG001	PF08541
AC204641.5_FG001	"PF01344,PF13041"
AC204641.5_FG003	PF02902
AC204659.3_FG005	PF02840
AC204711.3_FG002	PF00331
AC204711.3_FG003	PF00581
AC204717.3_FG005	PF12776
AC204763.2_FG001	PF13855
AC204868.3_FG004	PF12937
AC204940.3_FG008	PF07651
AC205006.3_FG001	"PF00941,PF03450"
AC205008.4_FG002	"PF12710,PF00122"
AC205012.3_FG002	"PF00240,PF00454"
AC205057.3_FG002	PF05910
AC205057.3_FG004	"PF08646,PF16900"
AC205113.3_FG001	PF02319
AC205122.4_FG003	"PF12907,PF00168"
AC205122.4_FG006	"PF04578,PF13968"
AC205130.3_FG001	PF00281
AC205154.3_FG005	PF00141
AC205250.3_FG004	PF13912
AC205250.3_FG006	PF03018
AC205251.3_FG002	PF12678
AC205274.3_FG001	PF00188
AC205320.3_FG004	PF07802
AC205324.3_FG003	PF14111
AC205362.4_FG002	PF01490
AC205376.4_FG003	PF02341
AC205376.4_FG007	PF01535
AC205376.4_FG008	PF14303
AC205410.3_FG001	PF14416
AC205413.4_FG001	PF00141
AC205413.4_FG002	PF00141
AC205413.4_FG003	PF00141
AC205419.3_FG001	PF05911
AC205471.4_FG003	PF00447
AC205471.4_FG004	PF03098
AC205471.4_FG007	PF04520
AC205471.4_FG008	"PF00560,PF13855"
AC205500.3_FG002	PF01535
AC205502.4_FG004	"PF01397,PF03936"
AC205530.4_FG003	PF14303
AC205562.3_FG002	PF03106
AC205574.3_FG006	PF03634
AC205595.3_FG007	PF01657
AC205608.4_FG004	PF00854
AC205616.4_FG002	PF03108
AC205661.3_FG002	PF16050
AC205677.3_FG001	"PF14796,PF01602"
AC205703.4_FG001	PF00240
AC205703.4_FG002	PF00022
AC205703.4_FG006	PF13561
AC205725.3_FG010	PF03715
AC205728.3_FG001	PF04181
AC205735.3_FG006	PF13041
AC205838.3_FG005	PF03004
AC205886.3_FG001	PF00900
AC205909.3_FG001	PF00931
AC205976.3_FG004	PF13639
AC206030.4_FG001	PF01554
AC206165.3_FG007	PF00447
AC206175.3_FG003	PF00501
AC206184.4_FG002	PF03073
AC206185.3_FG002	PF16363
AC206191.3_FG001	PF05142
AC206201.3_FG004	PF00425
AC206217.2_FG006	PF13912
AC206223.3_FG004	"PF03770,PF00400,PF00650"
AC206223.3_FG006	PF00069
AC206223.3_FG007	PF13837
AC206223.3_FG008	"PF13176,PF07719,PF13414"
AC206246.3_FG003	"PF03790,PF03791"
AC206259.3_FG003	PF14649
AC206266.3_FG001	"PF00005,PF00664"
AC206266.3_FG005	PF03478
AC206274.3_FG007	"PF02181,PF00249"
AC206326.3_FG004	PF14111
AC206332.3_FG005	"PF00337,PF01762"
AC206350.3_FG005	PF03018
AC206425.3_FG004	PF00069
AC206432.3_FG005	PF04782
AC206627.3_FG001	PF00225
AC206634.3_FG004	"PF13855,PF00071"
AC206638.3_FG007	PF05678
AC206642.4_FG001	PF00831
AC206764.4_FG001	PF13041
AC206764.4_FG004	PF03055
AC206768.3_FG005	PF13639
AC206780.3_FG004	PF00098
AC206788.3_FG015	PF00201
AC206790.3_FG001	PF01073
AC206831.3_FG015	PF00560
AC206845.3_FG004	PF00394
AC206856.3_FG003	PF11904
AC206901.3_FG005	PF00249
AC206941.2_FG002	PF01277
AC206951.3_FG016	PF00847
AC206951.3_FG017	PF00847
AC206968.3_FG003	PF01399
AC206999.1_FG007	PF00280
AC207008.3_FG005	PF04733
AC207019.3_FG003	PF12819
AC207043.3_FG002	PF05678
AC207043.3_FG004	"PF14008,PF00149"
AC207107.4_FG002	PF06102
AC207265.3_FG002	PF07651
AC207266.3_FG002	PF14569
AC207309.3_FG005	PF01163
AC207323.3_FG015	PF00982
AC207342.3_FG001	PF02042
AC207342.3_FG007	PF13474
AC207342.3_FG008	PF10539
AC207347.3_FG005	"PF07690,PF00083"
AC207392.3_FG001	PF03080
AC207546.3_FG004	PF04504
AC207628.4_FG002	PF13178
AC207628.4_FG003	"PF13041,PF01535,PF00314,PF14432,PF12110"
AC207628.4_FG005	PF01459
AC207628.4_FG009	PF03372
AC207628.4_FG010	PF08241
