genes	term
GRMZM2G018020	GO:0005685
GRMZM2G018020	GO:0005829
GRMZM2G018022	GO:0016779
GRMZM2G018022	GO:0016740
GRMZM2G018022	GO:0008152
GRMZM2G105140	GO:0003700
GRMZM2G105140	GO:0043565
GRMZM2G105140	GO:0006355
GRMZM2G108008	GO:0003735
GRMZM2G108008	GO:0006412
GRMZM2G108008	GO:0005840
GRMZM2G108008	GO:0005622
GRMZM2G158328	GO:0003700
GRMZM2G158328	GO:0006355
GRMZM2G158328	GO:0043565
GRMZM2G471635	GO:0046983
GRMZM2G471635	GO:0080126
GRMZM2G471635	GO:0010500
GRMZM2G471635	GO:0048462
GRMZM2G471635	GO:0003677
GRMZM2G058639	GO:0016787
GRMZM2G058630	GO:0008374
GRMZM2G058630	GO:0006629
GRMZM2G111138	GO:0016070
GRMZM2G111138	GO:0003723
GRMZM2G111138	GO:0005515
GRMZM2G111138	GO:0003677
GRMZM2G111136	GO:0005634
GRMZM2G111136	GO:0003677
GRMZM2G438293	GO:0003700
GRMZM2G438293	GO:0006355
GRMZM2G438293	GO:0043565
GRMZM2G059325	GO:0016021
GRMZM2G157379	GO:0051260
GRMZM2G028501	GO:0005802
GRMZM2G028501	GO:0005768
GRMZM2G028501	GO:0016757
GRMZM2G028501	GO:0005774
GRMZM2G028500	GO:0006979
GRMZM2G028500	GO:0005739
GRMZM2G064701	GO:0016720
GRMZM2G064701	GO:0016717
GRMZM2G064701	GO:0045485
GRMZM2G064701	GO:0006629
GRMZM2G064701	GO:0055114
GRMZM5G821024	GO:0003700
GRMZM5G821024	GO:0006355
GRMZM5G821024	GO:0043565
GRMZM5G821027	GO:0003735
GRMZM5G821027	GO:0006412
GRMZM5G821027	GO:0005840
GRMZM5G821027	GO:0005622
GRMZM2G078267	GO:0046983
GRMZM2G078267	GO:0003677
GRMZM2G093146	GO:0016765
GRMZM2G070051	GO:0005515
GRMZM2G021223	GO:0016607
GRMZM2G021223	GO:0003676
GRMZM2G021223	GO:0000398
GRMZM2G021223	GO:0000166
GRMZM2G100583	GO:0006355
GRMZM2G100583	GO:0003677
GRMZM2G354746	GO:0031072
GRMZM2G354746	GO:0046872
GRMZM2G354746	GO:0006457
GRMZM2G354746	GO:0051082
GRMZM2G399284	GO:0005737
GRMZM2G399284	GO:0009535
GRMZM2G399284	GO:0006457
GRMZM2G399284	GO:0009941
GRMZM2G399284	GO:0009570
GRMZM2G399284	GO:0009579
GRMZM2G399284	GO:0005739
GRMZM2G399284	GO:0048046
GRMZM2G399284	GO:0046686
GRMZM2G399284	GO:1901671
GRMZM2G399284	GO:0009409
GRMZM2G399284	GO:0005507
GRMZM2G399284	GO:0005524
GRMZM2G399284	GO:0009507
AC214524.3_FG002	GO:0016705
AC214524.3_FG002	GO:0055114
AC214524.3_FG002	GO:0020037
AC214524.3_FG002	GO:0009055
GRMZM2G438129	GO:0055114
GRMZM2G438129	GO:0004601
GRMZM2G438129	GO:0020037
GRMZM2G438129	GO:0006979
GRMZM2G105400	GO:0009638
GRMZM2G105400	GO:0005515
GRMZM2G105400	GO:0009785
GRMZM2G105401	GO:0009553
GRMZM2G105401	GO:0005737
GRMZM2G105401	GO:0005634
GRMZM2G105401	GO:0009793
GRMZM2G105401	GO:0009960
GRMZM2G105401	GO:0010197
GRMZM2G105401	GO:0009855
GRMZM6G028976	GO:1902047
GRMZM6G028976	GO:0015846
GRMZM6G028976	GO:0015203
GRMZM2G059580	GO:0006414
GRMZM2G059580	GO:0005853
GRMZM2G059580	GO:0046686
GRMZM2G059580	GO:0005618
GRMZM2G059580	GO:0005829
GRMZM2G059580	GO:0005773
GRMZM2G059580	GO:0005515
GRMZM2G059580	GO:0005886
GRMZM2G059580	GO:0010043
GRMZM2G059580	GO:0003746
GRMZM2G059580	GO:0005507
GRMZM2G059580	GO:0009506
GRMZM2G024548	GO:0051603
GRMZM2G024548	GO:0005839
GRMZM2G024548	GO:0004298
GRMZM2G078198	GO:0005634
GRMZM2G078198	GO:0043985
GRMZM2G078198	GO:0016740
GRMZM2G078198	GO:0005515
GRMZM2G078198	GO:0000987
GRMZM2G078198	GO:0010030
GRMZM2G401835	GO:0000160
GRMZM2G401835	GO:0000156
GRMZM2G401835	GO:0006355
GRMZM2G401835	GO:0003677
GRMZM2G401835	GO:0035556
GRMZM2G401835	GO:0003682
GRMZM2G401831	GO:0005488
GRMZM2G061289	GO:0016758
GRMZM2G061289	GO:0005829
GRMZM2G061289	GO:0008152
GRMZM2G109753	GO:0009536
GRMZM2G109753	GO:0005739
GRMZM2G137236	GO:0008565
GRMZM2G137236	GO:0016192
GRMZM2G137236	GO:0006886
GRMZM2G137236	GO:0030117
GRMZM2G137236	GO:0005488
GRMZM2G137236	GO:0005886
GRMZM2G137236	GO:0030131
GRMZM2G061280	GO:0000166
GRMZM2G061280	GO:0019900
GRMZM2G061280	GO:0032588
GRMZM2G061280	GO:0032456
GRMZM2G061280	GO:0005886
GRMZM2G061280	GO:0015031
GRMZM2G061280	GO:0007264
GRMZM2G061280	GO:0005525
GRMZM2G061287	GO:0000079
GRMZM2G061287	GO:0019901
GRMZM2G061287	GO:0051301
GRMZM2G061287	GO:0005634
GRMZM2G403554	GO:0003924
GRMZM2G403554	GO:0005525
GRMZM2G075260	GO:0005515
GRMZM2G090493	GO:0005515
GRMZM2G075265	GO:0016758
GRMZM2G075265	GO:0005789
GRMZM2G107807	GO:0048767
GRMZM2G107807	GO:0005829
GRMZM2G107807	GO:0016036
GRMZM2G107807	GO:0008270
GRMZM2G107807	GO:0005515
GRMZM2G107807	GO:0055065
GRMZM2G107807	GO:0035064
GRMZM2G107807	GO:0046872
GRMZM2G083797	GO:0005515
GRMZM2G025037	GO:0016567
GRMZM2G025037	GO:0004842
GRMZM2G025037	GO:0000151
GRMZM2G025037	GO:0005515
GRMZM2G025031	GO:0046686
GRMZM2G025031	GO:0009570
GRMZM2G025031	GO:0004853
GRMZM2G025031	GO:0006779
GRMZM2G401784	GO:0006221
GRMZM2G401784	GO:0003883
GRMZM2G137582	GO:0005634
GRMZM2G137582	GO:0019005
GRMZM2G137582	GO:0005515
GRMZM2G137582	GO:0009723
GRMZM2G405203	GO:0007568
GRMZM2G405203	GO:0010016
GRMZM2G405203	GO:0005515
GRMZM2G405203	GO:0005634
GRMZM2G405203	GO:0000151
GRMZM2G405203	GO:0009416
GRMZM2G405203	GO:0009934
GRMZM2G405203	GO:0009414
GRMZM2G405203	GO:0009926
GRMZM2G405203	GO:0007275
GRMZM2G117207	GO:0016020
GRMZM2G071010	GO:0006974
GRMZM2G071010	GO:0016881
GRMZM2G071010	GO:0031372
GRMZM2G071010	GO:0006301
GRMZM5G822593	GO:0034440
GRMZM5G822593	GO:0016702
GRMZM5G822593	GO:0005515
GRMZM5G822593	GO:0005886
GRMZM5G822593	GO:0046872
GRMZM5G822593	GO:0055114
GRMZM2G090725	GO:0016772
GRMZM2G090725	GO:0006468
GRMZM2G090725	GO:0005524
GRMZM2G090725	GO:0004672
GRMZM2G090722	GO:0003824
GRMZM2G090722	GO:0009507
GRMZM2G090722	GO:0009089
GRMZM2G090722	GO:0008152
GRMZM2G090722	GO:0008836
GRMZM2G097113	GO:0005975
GRMZM2G097113	GO:0016868
GRMZM5G811593	GO:0006857
GRMZM5G811593	GO:0005215
GRMZM5G811593	GO:0016020
GRMZM5G811593	GO:0006810
GRMZM5G811593	GO:0016021
GRMZM2G389416	GO:0055114
GRMZM2G389416	GO:0016491
GRMZM2G441722	GO:0042626
GRMZM2G441722	GO:0016021
GRMZM2G441722	GO:0006200
GRMZM2G441722	GO:0000166
GRMZM2G441722	GO:0016887
GRMZM2G441722	GO:0055085
GRMZM2G441722	GO:0005524
GRMZM2G106177	GO:0016021
GRMZM2G106172	GO:0046983
GRMZM2G106172	GO:0008171
GRMZM2G106172	GO:0032259
GRMZM2G455909	GO:0006952
GRMZM2G455909	GO:0043531
GRMZM5G844629	GO:0046686
GRMZM5G844629	GO:0009737
GRMZM5G844629	GO:0005886
GRMZM2G134396	GO:0004435
GRMZM2G134396	GO:0009737
GRMZM2G134396	GO:0006629
GRMZM2G134396	GO:0005634
GRMZM2G134396	GO:0009793
GRMZM2G134396	GO:0006188
GRMZM2G134396	GO:0035556
GRMZM2G134396	GO:0003876
GRMZM2G134396	GO:0005829
GRMZM2G134396	GO:0007165
GRMZM2G067421	GO:0046872
GRMZM2G067421	GO:0030001
GRMZM2G543959	GO:0006904
GRMZM2G543959	GO:0016192
GRMZM2G067424	GO:0016758
GRMZM2G067424	GO:0008152
GRMZM2G108586	GO:0005886
GRMZM2G108588	GO:0006351
GRMZM2G108589	GO:0010216
GRMZM2G108589	GO:0048573
GRMZM2G108589	GO:0034720
GRMZM2G108589	GO:0005634
GRMZM2G108589	GO:0009910
GRMZM2G108589	GO:0032453
GRMZM2G108589	GO:0005515
GRMZM2G432926	GO:0031625
GRMZM2G432926	GO:0009737
GRMZM2G432926	GO:0009414
GRMZM2G432926	GO:0005773
GRMZM2G432926	GO:0005215
GRMZM2G432926	GO:0016020
GRMZM2G432926	GO:0015250
GRMZM2G432926	GO:0080170
GRMZM2G432926	GO:0006810
GRMZM2G432926	GO:0009506
GRMZM2G432926	GO:0009507
GRMZM2G076796	GO:0045454
GRMZM2G076796	GO:0015035
GRMZM2G076796	GO:0009055
GRMZM2G091456	GO:0004506
GRMZM2G091456	GO:0050660
GRMZM2G091456	GO:0016021
GRMZM2G091456	GO:0055114
GRMZM2G091456	GO:0016491
GRMZM2G447379	GO:0003824
GRMZM2G447379	GO:0046872
GRMZM2G131329	GO:0005794
GRMZM2G131329	GO:0006486
GRMZM2G131329	GO:0016021
GRMZM2G131329	GO:0016020
GRMZM2G131329	GO:0030246
GRMZM2G131329	GO:0008378
GRMZM2G131329	GO:0016757
GRMZM2G131321	GO:0005787
GRMZM2G131321	GO:0008233
GRMZM2G131321	GO:0016021
GRMZM2G131321	GO:0005783
GRMZM2G131321	GO:0006465
GRMZM2G426553	GO:0008380
GRMZM2G131324	GO:0000166
GRMZM2G138494	GO:0008168
GRMZM2G138494	GO:0032259
GRMZM2G138494	GO:0008033
GRMZM2G148176	GO:0080079
GRMZM2G148176	GO:0005975
GRMZM2G148176	GO:0080083
GRMZM2G148176	GO:0047668
GRMZM2G148176	GO:0080081
GRMZM2G148176	GO:0003824
GRMZM2G148176	GO:0022626
GRMZM2G148176	GO:0080082
GRMZM2G148176	GO:0009505
GRMZM2G337686	GO:0008312
GRMZM2G337686	GO:0006614
GRMZM2G337686	GO:0048500
GRMZM2G103273	GO:0005975
GRMZM2G103273	GO:0004553
GRMZM2G046011	GO:0022625
GRMZM2G046011	GO:0005622
GRMZM2G046011	GO:0003735
GRMZM2G046011	GO:0006412
GRMZM2G103270	GO:0046872
GRMZM2G103270	GO:0008270
GRMZM2G103270	GO:0005515
GRMZM2G459811	GO:0005737
GRMZM2G459811	GO:0030544
GRMZM2G459811	GO:0005488
GRMZM2G459811	GO:0009651
GRMZM2G459811	GO:0009408
AC197242.3_FG001	GO:0016747
GRMZM5G843368	GO:0009570
GRMZM5G843368	GO:0016671
GRMZM5G843368	GO:0009416
GRMZM5G843368	GO:0008047
GRMZM5G843368	GO:0006662
GRMZM5G843368	GO:0009507
GRMZM5G843368	GO:0015035
GRMZM5G843368	GO:0045454
GRMZM5G843368	GO:0043085
GRMZM5G843368	GO:0009055
GRMZM2G457415	GO:0005643
GRMZM2G457415	GO:0008565
GRMZM2G457415	GO:0006886
GRMZM2G457415	GO:0005488
AC214168.3_FG001	GO:0003700
AC214168.3_FG001	GO:0006355
AC214168.3_FG001	GO:0005667
GRMZM2G457411	GO:0008270
GRMZM2G457411	GO:0005515
GRMZM2G088951	GO:0009617
GRMZM2G088951	GO:0005975
GRMZM2G088951	GO:0005618
GRMZM2G088951	GO:0004553
GRMZM2G088951	GO:0048046
GRMZM2G088951	GO:0008152
GRMZM2G088951	GO:0005773
GRMZM2G088951	GO:0009409
GRMZM2G166145	GO:0005794
GRMZM2G166145	GO:0050660
GRMZM2G166145	GO:0055114
GRMZM2G166145	GO:0005886
GRMZM2G166145	GO:0009506
GRMZM2G166145	GO:0016491
GRMZM2G166141	GO:0048046
GRMZM2G166141	GO:0046872
GRMZM2G166141	GO:0030145
GRMZM2G166141	GO:0045735
GRMZM2G044527	GO:0009737
GRMZM2G044527	GO:0016192
GRMZM2G044527	GO:0006886
GRMZM2G044527	GO:0005886
GRMZM2G044527	GO:0005484
GRMZM2G171818	GO:0046983
GRMZM2G005480	GO:0045454
GRMZM2G171816	GO:0005215
GRMZM2G171816	GO:0016020
GRMZM2G171816	GO:0006810
GRMZM2G171810	GO:0003899
GRMZM2G171810	GO:0006351
GRMZM2G171810	GO:0003677
GRMZM2G400694	GO:0006468
GRMZM2G400694	GO:0009751
GRMZM2G400694	GO:0005886
GRMZM2G400694	GO:0030246
GRMZM2G400694	GO:0005739
GRMZM2G400694	GO:0000166
GRMZM2G400694	GO:0004675
GRMZM2G400694	GO:0004674
GRMZM2G400694	GO:0005524
GRMZM2G400694	GO:0007178
GRMZM2G103490	GO:0005634
GRMZM2G103490	GO:0005543
GRMZM2G103490	GO:0005545
GRMZM2G103490	GO:0048268
GRMZM2G103490	GO:0030276
GRMZM2G103490	GO:0005886
GRMZM2G103490	GO:0030118
GRMZM2G103490	GO:0005829
GRMZM2G463464	GO:0006468
GRMZM2G463464	GO:0016772
GRMZM2G463464	GO:0000166
GRMZM2G463464	GO:0004674
GRMZM2G463464	GO:0005509
GRMZM2G463464	GO:0005886
GRMZM2G463464	GO:0009789
GRMZM2G463464	GO:0005524
GRMZM2G429695	GO:0016021
GRMZM2G429695	GO:0006810
GRMZM5G822426	GO:0045454
GRMZM5G822426	GO:0005515
GRMZM2G041549	GO:0046872
GRMZM2G041549	GO:0008270
GRMZM2G041549	GO:0005515
GRMZM2G041544	GO:0004674
GRMZM2G041544	GO:0006468
GRMZM2G041544	GO:0016772
GRMZM2G041544	GO:0005524
GRMZM2G029478	GO:0016036
GRMZM2G029478	GO:0005515
GRMZM2G029479	GO:0055114
GRMZM2G029479	GO:0004601
GRMZM2G029479	GO:0020037
GRMZM2G029479	GO:0006979
GRMZM2G036609	GO:0006541
GRMZM2G036609	GO:0048046
GRMZM2G036609	GO:0006807
GRMZM2G036609	GO:0009416
GRMZM2G036609	GO:0009941
GRMZM2G036609	GO:0009570
GRMZM2G036609	GO:0016020
GRMZM2G036609	GO:0016041
GRMZM2G036609	GO:0005739
GRMZM2G036609	GO:0046872
GRMZM2G036609	GO:0080114
GRMZM2G036609	GO:0055114
GRMZM2G036609	GO:0009507
GRMZM2G036609	GO:0008652
GRMZM2G036609	GO:0051538
GRMZM2G036609	GO:0097054
GRMZM2G036609	GO:0009853
GRMZM2G036609	GO:0006537
GRMZM2G163519	GO:0016758
GRMZM2G163519	GO:0008152
GRMZM2G047875	GO:0006812
GRMZM2G047875	GO:0016021
GRMZM2G047875	GO:0015299
GRMZM2G047875	GO:0055085
GRMZM2G323013	GO:0008270
GRMZM2G323013	GO:0005515
AC203041.3_FG005	GO:0055114
AC203041.3_FG005	GO:0004601
AC203041.3_FG005	GO:0020037
AC203041.3_FG005	GO:0006979
GRMZM5G847287	GO:0003682
GRMZM5G847287	GO:0003677
GRMZM2G005028	GO:0003676
GRMZM2G072890	GO:0006950
GRMZM2G072892	GO:0005773
GRMZM2G072892	GO:0005794
GRMZM2G072892	GO:0016021
GRMZM2G072892	GO:0009506
GRMZM2G072894	GO:0003950
GRMZM2G100913	GO:0005515
GRMZM2G100913	GO:0046872
GRMZM2G100913	GO:0008270
GRMZM2G100913	GO:0003676
GRMZM2G100913	GO:0005622
GRMZM2G100911	GO:0016772
GRMZM2G100911	GO:0006468
GRMZM2G100911	GO:0005886
GRMZM2G100911	GO:0005524
GRMZM2G100911	GO:0004672
GRMZM2G120971	GO:0005634
GRMZM2G120971	GO:0006351
GRMZM2G120971	GO:0003677
GRMZM2G027068	GO:0009941
GRMZM2G027068	GO:0046983
GRMZM2G130749	GO:0009941
GRMZM2G130749	GO:0016020
GRMZM2G130749	GO:0007568
GRMZM2G130749	GO:0005783
GRMZM2G130749	GO:0005789
GRMZM2G130749	GO:0016021
GRMZM2G130749	GO:0009737
GRMZM2G130749	GO:0016746
GRMZM2G130749	GO:0009749
GRMZM2G130749	GO:0009409
GRMZM2G130749	GO:0019432
GRMZM2G130749	GO:0045995
GRMZM2G130749	GO:0009651
GRMZM2G130749	GO:0008374
GRMZM2G130749	GO:0005975
GRMZM2G130749	GO:0004144
GRMZM2G130749	GO:0010030
GRMZM2G135513	GO:0008270
GRMZM2G135513	GO:0005515
GRMZM2G451716	GO:0003676
GRMZM2G451716	GO:0000166
GRMZM2G130746	GO:0005634
GRMZM2G130746	GO:0000786
GRMZM2G130746	GO:0003677
GRMZM2G130746	GO:0046982
GRMZM2G130746	GO:0005694
GRMZM2G130746	GO:0006334
GRMZM2G045732	GO:0006950
GRMZM2G045732	GO:0005634
GRMZM2G045732	GO:0002238
GRMZM2G045732	GO:0005829
GRMZM2G045732	GO:0005886
GRMZM2G141084	GO:0046872
GRMZM2G141084	GO:0008270
GRMZM2G141084	GO:0005515
AC200210.1_FG006	GO:0003824
AC200210.1_FG006	GO:0046872
AC200210.1_FG006	GO:0005739
AC200210.1_FG006	GO:0009507
GRMZM2G701930	GO:0005524
GRMZM2G013331	GO:0006952
GRMZM2G013331	GO:0016787
GRMZM2G013331	GO:0030598
GRMZM2G013331	GO:0017148
GRMZM2G022252	GO:0008652
GRMZM2G022252	GO:0016853
GRMZM2G022252	GO:0003949
GRMZM2G022252	GO:0008152
GRMZM2G022252	GO:0000105
GRMZM2G022252	GO:0009507
GRMZM2G161913	GO:0016020
GRMZM2G161913	GO:0009910
GRMZM2G161913	GO:0016571
GRMZM2G161913	GO:0045893
GRMZM2G161913	GO:0005515
GRMZM2G402341	GO:0046872
GRMZM2G402341	GO:0008270
GRMZM2G402341	GO:0005515
GRMZM2G030606	GO:0009941
GRMZM2G030606	GO:0009534
GRMZM2G030606	GO:0009507
GRMZM2G022258	GO:0008565
GRMZM2G022258	GO:0009553
GRMZM2G022258	GO:0009555
GRMZM2G022258	GO:0005643
GRMZM2G022258	GO:0006886
GRMZM2G022258	GO:0009860
GRMZM2G022258	GO:0005488
GRMZM2G022258	GO:0009846
GRMZM2G022258	GO:0005829
GRMZM2G022258	GO:0009506
GRMZM5G841855	GO:0004435
GRMZM5G841855	GO:0006629
GRMZM5G841855	GO:0008081
GRMZM5G841855	GO:0007165
GRMZM5G841855	GO:0005515
GRMZM5G841855	GO:0035556
GRMZM2G016677	GO:0019898
GRMZM2G016677	GO:0009654
GRMZM2G016677	GO:0005509
GRMZM2G016677	GO:0015979
GRMZM2G016671	GO:0005737
GRMZM2G016671	GO:0006468
GRMZM2G016671	GO:0005634
GRMZM2G016671	GO:0000166
GRMZM2G016671	GO:0004674
GRMZM2G016671	GO:0005524
GRMZM2G016671	GO:0009507
GRMZM5G864001	GO:0046872
GRMZM5G864001	GO:0008270
GRMZM5G864001	GO:0005515
GRMZM2G126447	GO:0006511
GRMZM2G126447	GO:0008270
GRMZM2G126447	GO:0004221
GRMZM2G126443	GO:0005515
GRMZM2G136960	GO:0009535
GRMZM2G136960	GO:0071486
GRMZM2G136960	GO:0009611
GRMZM2G136960	GO:0071492
GRMZM2G074496	GO:0043531
GRMZM2G324544	GO:0005773
GRMZM2G324544	GO:0005774
GRMZM2G324544	GO:0005886
GRMZM2G126852	GO:0007264
GRMZM2G126852	GO:0005525
GRMZM2G324540	GO:0005730
GRMZM2G324540	GO:0005618
GRMZM2G324540	GO:0005634
GRMZM2G324540	GO:0000151
GRMZM2G324540	GO:0016567
GRMZM2G324540	GO:0042742
GRMZM2G324540	GO:0005515
GRMZM2G324540	GO:0046686
GRMZM2G324540	GO:0004842
GRMZM2G324540	GO:0009507
GRMZM2G458776	GO:0016758
GRMZM2G458776	GO:0008152
GRMZM2G524937	GO:0005515
GRMZM2G133213	GO:0004128
GRMZM2G133213	GO:0005783
GRMZM2G133213	GO:0022900
GRMZM2G133213	GO:0005886
GRMZM2G133213	GO:0009505
GRMZM2G133213	GO:0016491
AC198506.3_FG001	GO:0008270
AC198506.3_FG001	GO:0005622
GRMZM2G117726	GO:0008430
GRMZM2G410812	GO:0005737
GRMZM2G410812	GO:0009408
GRMZM2G410812	GO:0005507
GRMZM2G410812	GO:0006457
GRMZM2G410812	GO:0005739
AC209768.3_FG005	GO:0005634
AC209768.3_FG005	GO:0003676
GRMZM2G000670	GO:0016747
GRMZM5G819384	GO:0005739
GRMZM2G141332	GO:0005515
GRMZM2G141333	GO:0003676
GRMZM2G141333	GO:0005515
GRMZM5G869403	GO:0070062
GRMZM5G869403	GO:0000145
GRMZM5G869403	GO:0005634
GRMZM5G869403	GO:0006887
GRMZM5G869403	GO:0005886
GRMZM5G869403	GO:0005829
GRMZM2G160351	GO:0005840
GRMZM2G160351	GO:0022625
GRMZM2G160351	GO:0003735
GRMZM2G160351	GO:0005622
GRMZM2G160351	GO:0006412
GRMZM2G044060	GO:0005829
GRMZM2G044060	GO:0009506
GRMZM2G044060	GO:0005515
GRMZM2G160356	GO:0016020
GRMZM2G160356	GO:0016780
GRMZM2G160356	GO:0008654
GRMZM2G178886	GO:0045454
GRMZM2G178886	GO:0015035
GRMZM2G178886	GO:0009055
GRMZM5G835629	GO:0006468
GRMZM5G835629	GO:0016021
GRMZM5G835629	GO:0004674
GRMZM5G835629	GO:0005524
GRMZM2G056403	GO:0005488
GRMZM5G844739	GO:0008026
GRMZM5G844739	GO:0005524
GRMZM5G844739	GO:0003676
GRMZM2G139624	GO:0016841
GRMZM2G139624	GO:0016192
GRMZM2G139624	GO:0006886
GRMZM2G139624	GO:0003824
GRMZM2G139624	GO:0009058
GRMZM2G139624	GO:0030117
GRMZM2G071977	GO:0003682
GRMZM2G071977	GO:0003677
GRMZM2G071970	GO:0005794
GRMZM2G071970	GO:0009825
GRMZM2G071970	GO:0010215
GRMZM2G071970	GO:0046658
GRMZM2G071970	GO:0009930
GRMZM2G071970	GO:0005886
GRMZM2G071970	GO:0009651
GRMZM2G071970	GO:0009505
GRMZM2G165320	GO:0006631
GRMZM2G165320	GO:0050660
GRMZM2G165320	GO:0005777
GRMZM2G165320	GO:0003995
GRMZM2G165320	GO:0003997
GRMZM2G165320	GO:0055114
GRMZM2G494034	GO:0005515
GRMZM2G145107	GO:0005794
GRMZM2G145107	GO:0008515
GRMZM2G145107	GO:0016021
GRMZM2G145107	GO:0009611
GRMZM2G145107	GO:0090406
GRMZM2G145107	GO:0055085
AC214360.3_FG001	GO:0034282
AC214360.3_FG001	GO:0034281
AC214360.3_FG001	GO:0034278
AC214360.3_FG001	GO:0051501
AC214360.3_FG001	GO:0009570
AC214360.3_FG001	GO:0010333
AC214360.3_FG001	GO:0000287
AC214360.3_FG001	GO:0009686
AC214360.3_FG001	GO:0005739
AC214360.3_FG001	GO:0009899
AC214360.3_FG001	GO:0034280
AC214360.3_FG001	GO:0008152
AC214360.3_FG001	GO:0016829
AC214360.3_FG001	GO:0009507
GRMZM2G145101	GO:0016829
GRMZM2G145101	GO:0015976
GRMZM2G145101	GO:0004089
GRMZM2G145101	GO:0008270
GRMZM2G145101	GO:0009507
GRMZM2G112609	GO:0016021
GRMZM2G112609	GO:0016020
GRMZM2G112609	GO:0005783
GRMZM2G112609	GO:0005789
AC193598.3_FG002	GO:0006952
AC193598.3_FG002	GO:0043531
GRMZM2G145109	GO:0006468
GRMZM2G145109	GO:0016772
GRMZM2G145109	GO:0030247
GRMZM2G145109	GO:0000166
GRMZM2G145109	GO:0004674
GRMZM2G145109	GO:0005509
GRMZM2G145109	GO:0005515
GRMZM2G145109	GO:0005524
GRMZM2G161004	GO:0003676
GRMZM2G138861	GO:0006636
GRMZM2G138861	GO:0010029
GRMZM2G138861	GO:0042742
GRMZM2G138861	GO:0009414
GRMZM2G138861	GO:0009651
GRMZM2G138861	GO:0005737
GRMZM2G138861	GO:0009737
GRMZM2G138861	GO:0040007
GRMZM2G138861	GO:0005634
GRMZM2G138861	GO:0005985
GRMZM2G138861	GO:0000166
GRMZM2G138861	GO:0004674
GRMZM2G138861	GO:0005524
GRMZM2G138861	GO:0006468
GRMZM2G138861	GO:0010119
GRMZM2G138861	GO:0009789
GRMZM2G138861	GO:0005829
GRMZM2G138861	GO:0048366
GRMZM2G138861	GO:0019432
GRMZM2G138861	GO:0009739
GRMZM2G039385	GO:0006659
GRMZM2G161009	GO:0003700
GRMZM2G161009	GO:0006355
GRMZM2G161009	GO:0043565
GRMZM2G171373	GO:0019320
GRMZM2G171373	GO:0008865
GRMZM2G171373	GO:0008270
GRMZM2G171373	GO:0010255
GRMZM2G171373	GO:0006096
GRMZM2G171373	GO:0009536
GRMZM2G171373	GO:0005773
