genes	term
AC184834.3_FG007	GO:0006468,GO:0004672
AC184866.3_FG007	GO:0003677
AC184871.2_FG002	GO:0006260,GO:0005524,GO:0003677
AC185122.3_FG008	GO:0015074
AC185126.3_FG006	GO:0008270,GO:0005515
AC185130.2_FG004	GO:0006508,GO:0004222
AC185226.4_FG006	GO:0016787
AC185254.4_FG002	GO:0016021,GO:0006810,GO:0005215
AC185276.2_FG006	GO:0007076,GO:0000796
AC185415.3_FG005	GO:0003676,GO:0008270
AC185434.4_FG004	GO:0006355,GO:0005634,GO:0003700
AC185460.3_FG004	GO:0008270,GO:0005515
AC185466.3_FG001	GO:0006887,GO:0000145
AC185468.3_FG003	GO:0006413,GO:0003743
AC185471.3_FG005	GO:0007017,GO:0005875
AC185500.3_FG004	GO:0004553
AC185501.3_FG001	GO:0007018,GO:0005871,GO:0003777
AC185531.2_FG001	GO:0005509
AC185603.4_FG007	GO:0009058,GO:0004161
AC185612.3_FG002	GO:0006308,GO:0004519,GO:0003676
AC185648.3_FG001	GO:0007094
AC185667.3_FG007	GO:0006508,GO:0004190
AC185668.3_FG001	GO:0006402,GO:0004654,GO:0003723
AC186147.3_FG008	GO:0016757,GO:0016021
AC186165.2_FG002	GO:0016788
AC186166.3_FG008	GO:0046872,GO:0030001
AC186223.3_FG003	GO:0006529,GO:0004066
AC186302.3_FG013	GO:0016758,GO:0008152
AC186333.2_FG006	GO:0008270,GO:0006355,GO:0006352,GO:0006384,GO:0000126
AC186519.4_FG002	GO:0009733
AC186529.4_FG014	GO:0005506
AC186577.3_FG006	GO:0004857
AC186579.3_FG007	GO:0008270,GO:0005515
AC186585.4_FG002	GO:0004045
AC186603.6_FG003	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC186604.4_FG003	GO:0050660,GO:0008033
AC186606.4_FG003	GO:0043565,GO:0006355,GO:0003700
AC186802.4_FG002	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC187072.4_FG002	GO:0008408,GO:0006139,GO:0003676
AC187157.4_FG001	GO:0006355,GO:0003700
AC187157.4_FG005	GO:0003677,GO:0008289
AC187285.5_FG004	GO:0016157,GO:0005985
AC187792.3_FG008	GO:0006468,GO:0004672
AC187809.3_FG005	GO:0008234,GO:0006508
AC187843.3_FG010	GO:0006355,GO:0003677
AC187875.3_FG006	GO:0016779,GO:0009058
AC187910.5_FG006	GO:0051568,GO:0016575,GO:0005634
AC188001.3_FG009	GO:0008380,GO:0005681
AC188005.3_FG003	GO:0016020,GO:0006810,GO:0005215
AC188024.3_FG003	GO:0006468,GO:0004672
AC188195.2_FG003	GO:0009611,GO:0004867
AC188195.2_FG004	GO:0009611,GO:0004867
AC188195.2_FG005	GO:0009611,GO:0004867
AC188713.2_FG005	GO:0045010,GO:0005884
AC188832.5_FG005	GO:0006355,GO:0005634,GO:0003700
AC189061.3_FG004	GO:0006468,GO:0005524,GO:0004672
AC189280.3_FG001	GO:0005515
AC189750.4_FG004	GO:0045454,GO:0008152,GO:0003824
AC189754.3_FG004	GO:0008565,GO:0006606,GO:0005737,GO:0005634
AC189879.3_FG003	GO:0005515,GO:0003676
AC190507.1_FG007	GO:0019205,GO:0006139,GO:0005524
AC190516.1_FG003	GO:0016567,GO:0004842
AC190518.1_FG002	GO:0030244,GO:0016866
AC190560.2_FG002	GO:0006760,GO:0004150
AC190561.3_FG002	GO:0055114,GO:0016491
AC190582.4_FG011	GO:0005515
AC190609.3_FG001	GO:0043565,GO:0006355,GO:0003700
AC190609.3_FG002	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC190609.3_FG004	GO:0006508,GO:0004190
AC190623.3_FG001	GO:0015979,GO:0009523,GO:0009507
AC190632.2_FG004	GO:0007264,GO:0005525
AC190636.3_FG005	GO:0055114,GO:0016491
AC190682.3_FG014	GO:0055085
AC190700.3_FG002	GO:0006508,GO:0004190
AC190713.3_FG004	GO:0016021
AC190716.3_FG001	GO:0006468,GO:0005524,GO:0004672
AC190750.2_FG014	GO:0005515
AC190753.4_FG002	GO:0043531
AC190761.3_FG002	GO:0006511,GO:0005622,GO:0004843
AC190772.4_FG011	GO:0045735
AC190788.2_FG005	GO:0030983,GO:0006298,GO:0005524
AC190807.2_FG001	GO:0030598,GO:0017148
AC190829.3_FG002	GO:0006412,GO:0005840,GO:0003735
AC190909.3_FG004	GO:0016020,GO:0006075,GO:0003843,GO:0000148
AC190933.3_FG004	GO:0006950
AC190940.3_FG005	GO:0030163,GO:0005524,GO:0004252,GO:0004176
AC190999.2_FG004	GO:0005515
AC191050.3_FG003	GO:0045735
AC191070.3_FG006	GO:0005789
AC191097.3_FG007	GO:0016021
AC191251.3_FG005	GO:0030014,GO:0006402
AC191272.3_FG003	GO:0043565,GO:0006351
AC191279.2_FG001	GO:0006355,GO:0003677
AC191279.2_FG003	GO:0006355,GO:0003677
AC191283.3_FG004	GO:0005515
AC191287.2_FG001	GO:0006260,GO:0005663,GO:0005524,GO:0003689
AC191325.3_FG005	GO:0006468,GO:0005524,GO:0004672
AC191359.3_FG003	GO:0003677
AC191412.3_FG002	GO:0005524
AC191523.3_FG001	GO:0030145,GO:0006302,GO:0005634,GO:0004519,GO:0006259,GO:0004527
AC191524.3_FG007	GO:0016021,GO:0006810
AC191534.3_FG003	GO:0046872,GO:0042393
AC191551.3_FG003	GO:0016747,GO:0008610,GO:0006633,GO:0004315
AC191650.3_FG003	GO:0008270,GO:0005515
AC191759.3_FG003	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC191802.3_FG004	GO:0016798,GO:0016020
AC192204.3_FG005	GO:0016020,GO:0009765
AC192236.3_FG007	GO:0043531,GO:0007275,GO:0006355,GO:0003700
AC192244.3_FG002	GO:0016020,GO:0015018
AC192244.3_FG007	GO:0009058,GO:0003824
AC192362.3_FG003	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC192377.3_FG002	GO:0055114,GO:0004471
AC192606.3_FG003	GO:0008270,GO:0003676
AC193362.3_FG002	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC193379.3_FG001	GO:0006468,GO:0004672
AC193382.3_FG002	GO:0000398
AC193430.3_FG005	GO:0006887,GO:0000145
AC193485.3_FG005	GO:0008234,GO:0006508
AC193500.3_FG003	GO:0055114,GO:0050661,GO:0050660,GO:0004499
AC193576.3_FG003	GO:0009611,GO:0004867
AC193595.3_FG001	GO:0016021
AC193598.3_FG002	GO:0005515,GO:0043531
AC193625.3_FG007	GO:0016887,GO:0005524
AC193630.3_FG003	GO:0043565,GO:0006355,GO:0003700
AC193632.2_FG002	GO:0006468,GO:0005524,GO:0004672
AC193754.3_FG008	GO:0030983,GO:0006298,GO:0005524
AC193767.3_FG003	GO:0003677
AC193786.3_FG005	GO:0046983,GO:0003677
AC193972.3_FG002	GO:0007094
AC194027.3_FG001	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC194069.3_FG003	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC194104.3_FG007	GO:0006351,GO:0005634,GO:0003677
AC194112.3_FG001	GO:0016020
AC194172.3_FG008	GO:0005634
AC194180.3_FG012	GO:0005815,GO:0000922,GO:0000226,GO:0007020,GO:0005856
AC194192.3_FG002	GO:0006508,GO:0004252
AC194259.3_FG002	GO:0010181
AC194296.3_FG001	GO:0006351,GO:0003899,GO:0003677,GO:0006893,GO:0000145
AC194341.4_FG002	GO:0015986,GO:0015078,GO:0000276
AC194341.4_FG004	GO:0005515
AC194341.4_FG008	GO:0003924,GO:0007017,GO:0005874
AC194362.3_FG003	GO:0043565,GO:0006355,GO:0003700
AC194442.3_FG004	GO:0055085,GO:0016021
AC194457.3_FG001	GO:0055085,GO:0016021,GO:0022857
AC194480.3_FG001	GO:0009611,GO:0004867
AC194480.3_FG003	GO:0009611,GO:0004867
AC194592.2_FG001	GO:0008168,GO:0008152
AC194628.3_FG003	GO:0005992,GO:0003824
AC194734.3_FG004	GO:0016020,GO:0009765
AC194852.3_FG007	GO:0030570
AC194965.4_FG001	GO:0005515,GO:0007165,GO:0000155
AC194965.4_FG004	GO:0043565,GO:0008270,GO:0006355,GO:0003700
AC194970.5_FG001	GO:0008299
AC194970.5_FG009	GO:0005524,GO:0003678,GO:0043141
AC194974.3_FG005	GO:0030246
AC194977.2_FG004	GO:0055114,GO:0030976,GO:0006099,GO:0004591
AC195147.3_FG001	GO:0005515
AC195211.3_FG001	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC195220.3_FG005	GO:0008234,GO:0006508
AC195220.3_FG007	GO:0016020
AC195230.2_FG003	GO:0006468,GO:0005524,GO:0004672
AC195319.3_FG001	GO:0016787
AC195323.3_FG011	GO:0055114,GO:0016020,GO:0003885
AC195340.3_FG001	GO:0003924,GO:0007017,GO:0005874
AC195340.3_FG004	GO:0006355,GO:0005634
AC195343.3_FG002	GO:0006457,GO:0005737
AC195349.3_FG005	GO:0006468,GO:0005524,GO:0004672
AC195366.3_FG008	GO:0070569,GO:0008152
AC195401.3_FG002	GO:0052726,GO:0052725,GO:0047325,GO:0032957,GO:0005622,GO:0005524,GO:0000287
AC195587.4_FG001	GO:0046983,GO:0003677
AC195587.4_FG004	GO:0043531
AC195587.4_FG005	GO:0006355,GO:0005634,GO:0003700
AC195671.2_FG001	GO:0055114,GO:0050661,GO:0050660,GO:0004499
AC195785.3_FG004	GO:0006468,GO:0005524,GO:0004672
AC195826.2_FG006	GO:0072488,GO:0016020,GO:0008519
AC195828.3_FG002	GO:0006468,GO:0005524,GO:0004672
AC195833.3_FG001	GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871
AC195836.2_FG004	GO:0005096
AC195874.2_FG002	GO:0015031,GO:0008565
AC195951.2_FG014	GO:0017056,GO:0006913,GO:0005643
AC196031.3_FG006	GO:0016157,GO:0005985
AC196090.3_FG006	GO:0006508,GO:0004252
AC196166.3_FG001	GO:0007018,GO:0005871,GO:0003777
AC196183.3_FG002	GO:0006468,GO:0004672
AC196263.4_FG002	GO:0006508,GO:0004190
AC196266.3_FG008	GO:0043631,GO:0005634,GO:0004652
AC196278.2_FG003	GO:0008408
AC196278.2_FG004	GO:0008408
AC196294.3_FG005	GO:0006355,GO:0005634,GO:0003700
AC196412.3_FG001	GO:0030170,GO:0019752,GO:0016831
AC196437.3_FG001	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC196441.3_FG004	GO:0016157,GO:0005985
AC196465.3_FG006	GO:0006355,GO:0006351
AC196475.3_FG004	GO:0046983,GO:0008171
AC196475.3_FG005	GO:0006355,GO:0003677
AC196489.3_FG002	GO:0006412,GO:0005840,GO:0003735
AC196708.3_FG006	GO:0009733
AC196779.3_FG003	GO:0003993
AC196793.2_FG002	GO:0016020,GO:0006810,GO:0005215
AC196978.5_FG007	GO:0006457,GO:0003755,GO:0000413
AC197007.3_FG007	GO:0016798,GO:0016020
AC197016.3_FG003	GO:0016021,GO:0006810
AC197029.3_FG003	GO:0006468,GO:0005524,GO:0004672
AC197078.4_FG002	GO:0003676
AC197122.3_FG003	GO:0006355,GO:0005634
AC197146.3_FG001	GO:0006270
AC197150.3_FG003	GO:0055085,GO:0016020,GO:0006811,GO:0005216
AC197168.3_FG001	GO:0030170,GO:0008483
AC197196.3_FG002	GO:0055114,GO:0016491,GO:0051568,GO:0016575,GO:0005634
AC197242.3_FG001	GO:0016747
AC197246.3_FG001	GO:0005525
AC197246.3_FG003	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC197333.2_FG001	GO:0055114,GO:0016491,GO:0009073,GO:0003856
AC197354.3_FG002	GO:0000160
AC197362.3_FG002	GO:0006468,GO:0005524,GO:0004672
AC197364.3_FG007	GO:0006355,GO:0003677
AC197437.3_FG001	GO:0004725
AC197446.3_FG009	GO:0008234,GO:0006508
AC197541.3_FG009	GO:0016787
AC197544.3_FG001	GO:0005524,GO:0003676
AC197544.3_FG002	GO:0008234,GO:0006508
AC197555.3_FG008	GO:0016853,GO:0005975
AC197575.3_FG005	GO:0008236,GO:0006508
AC197575.3_FG008	GO:0019904
AC197578.4_FG001	GO:0005975,GO:0004553
AC197672.3_FG002	GO:0006633,GO:0005524,GO:0003989
AC197699.3_FG001	GO:0006355,GO:0005634,GO:0003700
AC197699.3_FG003	GO:0055114,GO:0016491
AC197705.4_FG001	GO:0030976,GO:0003824,GO:0000287
AC197705.4_FG004	GO:0008270,GO:0005515
AC197705.4_FG007	GO:0019867
AC197705.4_FG011	GO:0070569,GO:0008152
AC197717.3_FG002	GO:0007165
AC197758.3_FG004	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC197783.3_FG005	GO:0055114,GO:0017004,GO:0016020
AC197910.3_FG001	GO:0046983
AC198028.3_FG001	GO:0048015,GO:0046854,GO:0006661,GO:0004430
AC198118.4_FG002	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC198169.4_FG004	GO:0016787,GO:0005524,GO:0003677
AC198206.5_FG001	GO:0055114,GO:0050660,GO:0016491,GO:0016020,GO:0003885
AC198206.5_FG002	GO:0003676
AC198225.4_FG002	GO:0008270
AC198353.5_FG001	GO:0006508,GO:0004185
AC198353.5_FG004	GO:0006355,GO:0003723
AC198361.3_FG004	GO:0003676
AC198380.3_FG001	GO:0005975,GO:0004553
AC198398.3_FG005	GO:0006468,GO:0004672
AC198403.3_FG001	GO:0006355,GO:0003700
AC198418.3_FG005	GO:0016787,GO:0005524,GO:0003677,GO:0008270,GO:0003676,GO:0005634,GO:0004386,GO:0003723
AC198476.3_FG004	GO:0003677
AC198481.3_FG004	GO:0005515,GO:0016773
AC198515.3_FG011	GO:0055085
AC198518.3_FG002	GO:0005515
AC198518.3_FG005	GO:0046983
AC198597.4_FG001	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC198699.3_FG004	GO:0016491
AC198700.2_FG004	GO:0016020,GO:0006810,GO:0005215
AC198725.4_FG007	GO:0030131,GO:0016192,GO:0006886,GO:0030117
AC198725.4_FG009	GO:0043565,GO:0006355,GO:0003700
AC198749.3_FG004	GO:0006779,GO:0004853
AC198937.4_FG003	GO:0009073,GO:0004106
AC198937.4_FG005	GO:0006355,GO:0003677
AC198971.3_FG006	GO:0055114,GO:0016616,GO:0019752
AC198979.4_FG009	GO:0006355,GO:0003700
AC199039.3_FG003	GO:0003676
AC199064.3_FG005	GO:0016020,GO:0015171,GO:0003333
AC199068.2_FG017	GO:0043531
AC199086.2_FG006	GO:0005975,GO:0004553
AC199175.2_FG006	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC199198.3_FG005	GO:0005543
AC199314.3_FG002	GO:0003677
AC199315.4_FG001	GO:0006886,GO:0005784
AC199343.3_FG013	GO:0045454,GO:0015035,GO:0009055
AC199439.4_FG005	GO:0006468,GO:0005524,GO:0004672
AC199487.4_FG002	GO:0009611,GO:0004867
AC199487.4_FG003	GO:0009611,GO:0004867
AC199487.4_FG004	GO:0009611,GO:0004867
AC199488.4_FG003	GO:0009611,GO:0004867
AC199488.4_FG004	GO:0009611,GO:0004867
AC199526.5_FG002	GO:0006556,GO:0004478,GO:0005524
AC199526.5_FG003	GO:0003723
AC199541.4_FG001	GO:0016758,GO:0008152
AC199541.4_FG002	GO:0016758,GO:0008152
AC199541.4_FG004	GO:0016758,GO:0008152
AC199541.4_FG007	GO:0016758,GO:0008152
AC199554.2_FG003	GO:0055085,GO:0016020,GO:0006810,GO:0005215
AC199571.3_FG004	GO:0045454
AC199572.3_FG001	GO:0006468,GO:0004672
AC199765.4_FG008	GO:0005975,GO:0004553
AC199782.5_FG001	GO:0016887,GO:0005524
AC199782.5_FG002	GO:0008299,GO:0004421
AC199810.3_FG003	GO:0006468,GO:0005524,GO:0004672
AC199826.4_FG003	GO:0006355
AC199884.4_FG007	GO:0009982,GO:0009451,GO:0003723,GO:0001522,GO:0008168
AC199908.4_FG003	GO:0047262
AC199911.5_FG001	GO:0042626
AC199917.4_FG003	GO:0006468,GO:0004672
AC200057.4_FG007	GO:0043565,GO:0006355,GO:0003700
AC200099.4_FG006	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC200108.4_FG003	GO:0016021
AC200112.4_FG007	GO:0008270
AC200211.3_FG008	GO:0006468,GO:0005524,GO:0004672
AC200215.3_FG002	GO:0016758,GO:0008152
AC200298.4_FG001	GO:0046872,GO:0030001
AC200493.4_FG001	GO:0004553
AC200753.3_FG003	GO:0005515
AC201774.3_FG003	GO:0007275,GO:0006355,GO:0003700
AC201894.4_FG007	GO:0046488,GO:0016307,GO:0005524
AC201911.3_FG010	GO:0009982,GO:0009451,GO:0003723,GO:0001522
AC202069.3_FG002	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC202073.4_FG001	GO:0006950,GO:0005516
AC202110.3_FG004	GO:0016887,GO:0005524
AC202120.3_FG003	GO:0006433,GO:0005737,GO:0005524,GO:0004827,GO:0000166
AC202139.3_FG008	GO:0005524,GO:0003676
AC202386.3_FG002	GO:0030117,GO:0016192,GO:0006886,GO:0005198,GO:0030126,GO:0005515
AC202391.4_FG002	GO:0008270,GO:0003676
AC202435.3_FG003	GO:0016787
AC202439.3_FG006	GO:0055085,GO:0016020,GO:0006810,GO:0005215
AC202561.3_FG009	GO:0055114,GO:0020037,GO:0016705,GO:0005506
AC202707.3_FG002	GO:0006511,GO:0005622,GO:0004843
AC202864.3_FG002	GO:0043565,GO:0008270,GO:0006355,GO:0003700
AC202867.3_FG008	GO:0046872,GO:0030001
AC202895.3_FG002	GO:0005524,GO:0004003,GO:0003677
AC203019.3_FG001	GO:0030246,GO:0016020,GO:0008378,GO:0006486
AC203031.3_FG002	GO:0016592,GO:0006357,GO:0001104
AC203041.3_FG005	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC203051.3_FG003	GO:0016747,GO:0016020,GO:0006633
AC203159.3_FG010	GO:0009055
AC203173.3_FG001	GO:0005515
AC203173.3_FG002	GO:0005515,GO:0006468,GO:0005524,GO:0004672
AC203173.3_FG003	GO:0055114,GO:0006102,GO:0004450
AC203173.3_FG004	GO:0005525
AC203257.2_FG003	GO:0008270
AC203280.3_FG001	GO:0003676
AC203294.3_FG001	GO:0006468,GO:0004672
AC203334.2_FG001	GO:0016021,GO:0016020,GO:0022857
AC203352.3_FG001	GO:0042398,GO:0004357
AC203362.4_FG012	GO:0042545,GO:0030599,GO:0005618
AC203408.4_FG003	GO:0005975,GO:0004553
AC203424.3_FG001	GO:0072546
AC203535.4_FG002	GO:0006355,GO:0003677
AC203535.4_FG007	GO:0006468,GO:0004672
AC203535.4_FG009	GO:0016987,GO:0006355,GO:0006352,GO:0003700,GO:0003677
AC203581.4_FG001	GO:0045735
AC203752.5_FG002	GO:0006418,GO:0005524,GO:0004812,GO:0000166
AC203753.4_FG006	GO:0005975,GO:0004553
AC203761.3_FG002	GO:0006265,GO:0003916,GO:0003677,GO:0003917
AC203768.3_FG005	GO:0006508,GO:0004222
AC203862.4_FG001	GO:0008233,GO:0006508
AC203900.3_FG006	GO:0005515
AC203909.3_FG003	GO:0055114,GO:0050660,GO:0016491
AC203909.3_FG007	GO:0055114,GO:0050660,GO:0016491
AC203956.3_FG004	GO:0015031,GO:0006457
AC203957.3_FG004	GO:0043565,GO:0006355,GO:0003700
AC203966.5_FG005	GO:0055114,GO:0016491
AC203966.5_FG006	GO:0005975,GO:0004553
AC203972.3_FG001	GO:0043531
AC203972.3_FG002	GO:0006468,GO:0004672
AC203985.4_FG001	GO:0055085,GO:0016021
AC203985.4_FG005	GO:0051082,GO:0016272,GO:0006457
AC203989.4_FG001	GO:0055114,GO:0016702
AC204070.3_FG004	GO:0016459,GO:0005524,GO:0003774
AC204277.3_FG006	GO:0008168
AC204292.4_FG003	GO:0005515
AC204292.4_FG006	GO:0006508,GO:0004252
AC204306.3_FG007	GO:0008270,GO:0005515
AC204382.3_FG010	GO:0006355,GO:0005634,GO:0003700
AC204407.3_FG004	GO:0043531
AC204502.4_FG006	GO:0003677
AC204512.3_FG002	GO:0006355,GO:0003700
AC204530.4_FG003	GO:0005544,GO:0005509
AC204530.4_FG006	GO:0046488,GO:0016307
AC204563.3_FG011	GO:0070652,GO:0051225
AC204625.4_FG001	GO:0016747,GO:0008610,GO:0016020,GO:0006633
AC204641.5_FG001	GO:0005515
AC204641.5_FG003	GO:0008234,GO:0006508
AC204659.3_FG005	GO:0008380,GO:0005681
AC204711.3_FG002	GO:0005975,GO:0004553
AC204763.2_FG001	GO:0005515
AC204821.3_FG004	GO:0016758,GO:0008152
AC204868.3_FG004	GO:0005515
AC204940.3_FG008	GO:0005543
AC205006.3_FG001	GO:0055114,GO:0016491
AC205008.4_FG002	GO:0046872,GO:0000166
AC205012.3_FG002	GO:0005515,GO:0016773
AC205039.4_FG002	GO:0016021
AC205113.3_FG001	GO:0006355,GO:0005667,GO:0003700
AC205122.4_FG003	GO:0005515
AC205154.3_FG005	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC205251.3_FG002	GO:0008270
AC205413.4_FG001	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC205413.4_FG002	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC205413.4_FG003	GO:0055114,GO:0020037,GO:0006979,GO:0004601
AC205471.4_FG003	GO:0043565,GO:0006355,GO:0005634,GO:0003700
AC205471.4_FG008	GO:0005515
AC205475.2_FG003	GO:0016758,GO:0008152
AC205502.4_FG004	GO:0016829,GO:0010333,GO:0008152,GO:0000287
AC205562.3_FG002	GO:0043565,GO:0006355,GO:0003700
AC205608.4_FG004	GO:0016020,GO:0006810,GO:0005215
AC205677.3_FG001	GO:0030117,GO:0016192,GO:0006886,GO:0030123
AC205703.4_FG001	GO:0005515
AC205703.4_FG002	GO:0034314,GO:0007015,GO:0005885,GO:0005524
AC205886.3_FG001	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC205909.3_FG001	GO:0043531
AC205976.3_FG004	GO:0008270,GO:0005515
AC206030.4_FG001	GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855
AC206165.3_FG007	GO:0043565,GO:0006355,GO:0005634,GO:0003700
AC206175.3_FG003	GO:0008152,GO:0003824
AC206184.4_FG002	GO:0016021
AC206223.3_FG004	GO:0008440,GO:0005515
AC206223.3_FG006	GO:0006468,GO:0005524,GO:0004672
AC206223.3_FG008	GO:0005515
AC206246.3_FG003	GO:0005634,GO:0003677
AC206266.3_FG001	GO:0016887,GO:0005524,GO:0055085,GO:0042626,GO:0016021,GO:0006810
AC206321.3_FG002	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC206332.3_FG005	GO:0030246,GO:0016020,GO:0008378,GO:0006486
AC206425.3_FG004	GO:0006468,GO:0005524,GO:0004672
AC206627.3_FG001	GO:0008017,GO:0007018,GO:0005524,GO:0003777,GO:0005871
AC206634.3_FG004	GO:0005515,GO:0007264,GO:0005525
AC206642.4_FG001	GO:0006412,GO:0005840,GO:0005622,GO:0003735
AC206768.3_FG005	GO:0008270,GO:0005515
AC206780.3_FG004	GO:0008270,GO:0003676
AC206788.3_FG015	GO:0016758,GO:0008152
AC206790.3_FG001	GO:0055114,GO:0016616,GO:0006694,GO:0003854
AC206831.3_FG015	GO:0005515
AC206845.3_FG004	GO:0055114,GO:0016491
AC206868.3_FG004	GO:0007275,GO:0006355,GO:0003700
AC206941.2_FG002	GO:0016021,GO:0012511
AC206951.3_FG016	GO:0006355,GO:0003700
AC206951.3_FG017	GO:0006355,GO:0003700
AC206968.3_FG003	GO:0005515
AC206989.4_FG002	GO:0016567,GO:0004842
AC206999.1_FG007	GO:0009611,GO:0004867
AC207008.3_FG005	GO:0006890,GO:0005198
AC207043.3_FG004	GO:0016787
AC207265.3_FG002	GO:0005543
AC207323.3_FG015	GO:0005992,GO:0003824
AC207347.3_FG005	GO:0055085,GO:0016021,GO:0022857
AC207628.4_FG005	GO:0055085,GO:0005741
AC207628.4_FG010	GO:0008168,GO:0008152
AC207628.4_FG011	GO:0005515
AC207656.3_FG002	GO:0003677,GO:0009725,GO:0006355,GO:0005634
AC207678.4_FG002	GO:0003677
AC207722.2_FG009	GO:0016020,GO:0009765
AC207755.3_FG005	GO:0055085,GO:0016020,GO:0006810,GO:0015171,GO:0003333
AC207803.3_FG004	GO:0008017,GO:0000910,GO:0000226
AC207814.3_FG003	GO:0008289
AC207880.3_FG002	GO:0005524
AC207884.3_FG002	GO:0030163,GO:0005524,GO:0004252,GO:0004176
AC207890.3_FG002	GO:0035194,GO:0003712
AC208023.3_FG001	GO:0016020,GO:0006886,GO:0006605
AC208110.2_FG001	GO:0043565,GO:0006355,GO:0003700
AC208110.2_FG005	GO:0016020,GO:0006810,GO:0005215
AC208110.2_FG011	GO:0016020,GO:0006810,GO:0005215
